requirement_id,domain,release_priority,game_rule_id,spec_file,config_key_or_boundary,db_ref,api_ref,stage7_status,notes
PRD-PRINC-001,Product purpose,P0,GE-CORE,GAME_RULES_FINAL.md,source_policy/scoring,tasks;task_versions;scores_ledger;audit_log,API_POLICY:API_CONVENTIONS.md,MAPPED,
PRD-PRINC-002,Product purpose,P0,GE-CORE,GAME_RULES_FINAL.md,source_policy/scoring,tasks;task_versions;scores_ledger;audit_log,API_POLICY:API_CONVENTIONS.md,MAPPED,
PRD-PRINC-003,Product purpose,P0,GE-CORE,GAME_RULES_FINAL.md,source_policy/scoring,tasks;task_versions;scores_ledger;audit_log,API_POLICY:API_CONVENTIONS.md,MAPPED,
PRD-PRINC-004,Product purpose,P0,GE-CORE,GAME_RULES_FINAL.md,source_policy/scoring,tasks;task_versions;scores_ledger;audit_log,API_POLICY:API_CONVENTIONS.md,MAPPED,
PRD-PRINC-005,Product purpose,P0,GE-CORE,GAME_RULES_FINAL.md,source_policy/scoring,tasks;task_versions;scores_ledger;audit_log,API_POLICY:API_CONVENTIONS.md,MAPPED,
PRD-PRINC-006,Product purpose,P0,GE-CORE,GAME_RULES_FINAL.md,source_policy/scoring,tasks;task_versions;scores_ledger;audit_log,API_POLICY:API_CONVENTIONS.md,MAPPED,
PRD-PRINC-007,AI integrity,P0,GE-CORE,GAME_RULES_FINAL.md,source_policy/scoring,tasks;task_versions;scores_ledger;audit_log,API_POLICY:API_CONVENTIONS.md,MAPPED,
PRD-PRINC-008,AI integrity,P0,GE-CORE,GAME_RULES_FINAL.md,source_policy/scoring,tasks;task_versions;scores_ledger;audit_log,API_POLICY:API_CONVENTIONS.md,MAPPED,
PRD-PRINC-009,Scoring integrity,P0,GE-CORE,GAME_RULES_FINAL.md,source_policy/scoring,tasks;task_versions;scores_ledger;audit_log,API_POLICY:API_CONVENTIONS.md,MAPPED,
PRD-PRINC-010,Scoring integrity,P0,GE-CORE,GAME_RULES_FINAL.md,source_policy/scoring,tasks;task_versions;scores_ledger;audit_log,API_POLICY:API_CONVENTIONS.md,MAPPED,
PRD-PRINC-011,Audit integrity,P0,GE-CORE,GAME_RULES_FINAL.md,source_policy/scoring,tasks;task_versions;scores_ledger;audit_log,API_POLICY:API_CONVENTIONS.md,MAPPED,
PRD-HP-001,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,HP range/state requirement mapped; initial seed resolved separately by owner as DEC-H-002=A=100 HP.
PRD-HP-002,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-003,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-004,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-005,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-006,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-007,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-008,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-009,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-010,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-011,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-012,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-013,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-014,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-015,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-HP-016,Pet HP & health,P0,GE-HP,HP_STATE_MACHINE.md,hp.*,pet_state;daily_activity;pet_events;vacation_periods;corporate_calendar,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-STR-001,Streak & evolution,P0,GE-STREAK,STREAK_RULES.md,streak.*,pet_state;daily_activity;streak_milestone_awards;scores_ledger,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-STR-002,Streak & evolution,P0,GE-STREAK,STREAK_RULES.md,streak.*,pet_state;daily_activity;streak_milestone_awards;scores_ledger,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-STR-003,Streak & evolution,P0,GE-STREAK,STREAK_RULES.md,streak.*,pet_state;daily_activity;streak_milestone_awards;scores_ledger,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-STR-004,Streak & evolution,P0,GE-STREAK,STREAK_RULES.md,streak.*,pet_state;daily_activity;streak_milestone_awards;scores_ledger,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-STR-005,Streak & evolution,P0,GE-STREAK,STREAK_RULES.md,streak.*,pet_state;daily_activity;streak_milestone_awards;scores_ledger,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-STR-006,Streak & evolution,P0,GE-STREAK,STREAK_RULES.md,streak.*,pet_state;daily_activity;streak_milestone_awards;scores_ledger,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-EVO-001,Streak & evolution,P0,GE-EVO,EVOLUTION_ENGINE.md;XP_LEDGER_SPEC.md,evolution.*,pet_state;scores_ledger;xp_ledger;employee_cosmetics,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-EVO-002,Streak & evolution,P0,GE-EVO,EVOLUTION_ENGINE.md;XP_LEDGER_SPEC.md,evolution.*,pet_state;scores_ledger;xp_ledger;employee_cosmetics,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-EVO-003,Streak & evolution,P0,GE-EVO,EVOLUTION_ENGINE.md;XP_LEDGER_SPEC.md,evolution.*,pet_state;scores_ledger;xp_ledger;employee_cosmetics,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-EVO-004,Streak & evolution,P0,GE-EVO,EVOLUTION_ENGINE.md;XP_LEDGER_SPEC.md,evolution.*,pet_state;scores_ledger;xp_ledger;employee_cosmetics,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-EVO-005,Streak & evolution,P0,GE-EVO,EVOLUTION_ENGINE.md;XP_LEDGER_SPEC.md,evolution.*,pet_state;scores_ledger;xp_ledger;employee_cosmetics,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-EVO-006,Streak & evolution,P0,GE-EVO,EVOLUTION_ENGINE.md;XP_LEDGER_SPEC.md,evolution.*,pet_state;scores_ledger;xp_ledger;employee_cosmetics,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-EVO-007,Streak & evolution,P0_BASELINE_DEFERRED_FREEZE,GE-EVO,EVOLUTION_ENGINE.md;XP_LEDGER_SPEC.md,evolution.*,pet_state;scores_ledger;xp_ledger;employee_cosmetics,getHome;getPersonalDashboard;listMyProgressEvents,MAPPED,
PRD-GOAL-001,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-002,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-003,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-004,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-005,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-006,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-007,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-008,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-009,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-010,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-011,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-012,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-013,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-014,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-GOAL-015,Monthly Goals,P0,GE-GOAL,GOALS_ENGINE.md,goals.*,monthly_goal_cycles;goal_options;goals;goal_task_matches;goal_ledger;scores_ledger,getCurrentGoals;getGoalSetup;submitGoalSetup;listGoalHistory;getHome,MAPPED,
PRD-RANK-001,Ratings & privacy,P0,GE-RANK,RANKING_RULES.md,ranking.*,scores_ledger;employees;employee_directorate_history;employee_leaderboard_snapshots;directorate_leaderboard_snapshots,listEmployeeRating;listDirectorateRating;getDirectorateCard,MAPPED,
PRD-RANK-002,Ratings & privacy,P0,GE-RANK,RANKING_RULES.md,ranking.*,scores_ledger;employees;employee_directorate_history;employee_leaderboard_snapshots;directorate_leaderboard_snapshots,listEmployeeRating;listDirectorateRating;getDirectorateCard,MAPPED,
PRD-RANK-003,Ratings & privacy,P0,GE-RANK,RANKING_RULES.md,ranking.*,scores_ledger;employees;employee_directorate_history;employee_leaderboard_snapshots;directorate_leaderboard_snapshots,listEmployeeRating;listDirectorateRating;getDirectorateCard,MAPPED,
PRD-RANK-004,Ratings & privacy,P0,GE-RANK,RANKING_RULES.md,ranking.*,scores_ledger;employees;employee_directorate_history;employee_leaderboard_snapshots;directorate_leaderboard_snapshots,listEmployeeRating;listDirectorateRating;getDirectorateCard,MAPPED,
PRD-RANK-005,Ratings & privacy,P0,GE-RANK,RANKING_RULES.md,ranking.*,scores_ledger;employees;employee_directorate_history;employee_leaderboard_snapshots;directorate_leaderboard_snapshots,listEmployeeRating;listDirectorateRating;getDirectorateCard,MAPPED,
PRD-RANK-006,Ratings & privacy,P0,GE-RANK,RANKING_RULES.md,ranking.*,scores_ledger;employees;employee_directorate_history;employee_leaderboard_snapshots;directorate_leaderboard_snapshots,listEmployeeRating;listDirectorateRating;getDirectorateCard,MAPPED,
PRD-RANK-007,Ratings & privacy,P0,GE-RANK,RANKING_RULES.md,ranking.*,scores_ledger;employees;employee_directorate_history;employee_leaderboard_snapshots;directorate_leaderboard_snapshots,listEmployeeRating;listDirectorateRating;getDirectorateCard,MAPPED,
PRD-RANK-008,Ratings & privacy,P0,GE-RANK,RANKING_RULES.md,ranking.*,scores_ledger;employees;employee_directorate_history;employee_leaderboard_snapshots;directorate_leaderboard_snapshots,listEmployeeRating;listDirectorateRating;getDirectorateCard,MAPPED,
PRD-RANK-009,Ratings & privacy,P0,GE-RANK,RANKING_RULES.md,ranking.*,scores_ledger;employees;employee_directorate_history;employee_leaderboard_snapshots;directorate_leaderboard_snapshots,listEmployeeRating;listDirectorateRating;getDirectorateCard,MAPPED,
PRD-RANK-010,Ratings & privacy,P0,GE-RANK,RANKING_RULES.md,ranking.*,scores_ledger;employees;employee_directorate_history;employee_leaderboard_snapshots;directorate_leaderboard_snapshots,listEmployeeRating;listDirectorateRating;getDirectorateCard,MAPPED,
PRD-PRIV-001,Ratings & privacy,P0,GE-BOUNDARY-PRIVACY,RANKING_RULES.md,ranking only; visibility Stage 9/10,employees;audit_log,updatePrivacyLevel;getPublicEmployeeProfile,MAPPED,
PRD-PRIV-002,Ratings & privacy,P0,GE-BOUNDARY-PRIVACY,RANKING_RULES.md,ranking only; visibility Stage 9/10,employees;audit_log,updatePrivacyLevel;getPublicEmployeeProfile,MAPPED,
PRD-PRIV-003,Ratings & privacy,P0,GE-BOUNDARY-PRIVACY,RANKING_RULES.md,ranking only; visibility Stage 9/10,employees;audit_log,updatePrivacyLevel;getPublicEmployeeProfile,MAPPED,
PRD-PRIV-004,Ratings & privacy,P0,GE-BOUNDARY-PRIVACY,RANKING_RULES.md,ranking only; visibility Stage 9/10,employees;audit_log,updatePrivacyLevel;getPublicEmployeeProfile,MAPPED,
PRD-PRIV-005,Ratings & privacy,P0,GE-BOUNDARY-PRIVACY,RANKING_RULES.md,ranking only; visibility Stage 9/10,employees;audit_log,updatePrivacyLevel;getPublicEmployeeProfile,MAPPED,
PRD-PRIV-006,Ratings & privacy,P0,GE-BOUNDARY-PRIVACY,RANKING_RULES.md,ranking only; visibility Stage 9/10,employees;audit_log,updatePrivacyLevel;getPublicEmployeeProfile,MAPPED,
PRD-PRIV-007,Ratings & privacy,P0,GE-BOUNDARY-PRIVACY,RANKING_RULES.md,ranking only; visibility Stage 9/10,employees;audit_log,updatePrivacyLevel;getPublicEmployeeProfile,MAPPED,
PRD-TAX-001,"Taxonomy, tools & operations",P0,GE-BOUNDARY,GAME_RULES_FINAL.md,no new Stage-7 numerical rule; owning stage remains authoritative,taxonomy_versions;categories;subcategories;task_versions,listTaxonomyVersions;getTaxonomyVersion;createTaxonomyVersion;activateTaxonomyVersion;createTaxonomyCategory;updateTaxonomyCategory;createTaxonomySubcategory;updateTaxonomySubcategory,MAPPED,
PRD-TAX-002,"Taxonomy, tools & operations",P0,GE-BOUNDARY,GAME_RULES_FINAL.md,no new Stage-7 numerical rule; owning stage remains authoritative,taxonomy_versions;categories;subcategories;task_versions,listTaxonomyVersions;getTaxonomyVersion;createTaxonomyVersion;activateTaxonomyVersion;createTaxonomyCategory;updateTaxonomyCategory;createTaxonomySubcategory;updateTaxonomySubcategory,MAPPED,
