feature_group_id,feature_group,requirement_id,requirement,scope_bucket,priority,delivery_contract,platform_scope,role_scope,dependency_boundary,feature_flag,decision_id,source_file,source_section,notes
FG-CORE,Product purpose & release foundation,PRD-PRINC-001,Corporate system records and develops real employee AI use; Tamagotchi is an engagement layer rather than the core business object.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§1,
FG-CORE,Product purpose & release foundation,PRD-PRINC-002,Employees can describe completed AI use cases in free text or voice; the system structures the data.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1,
FG-CORE,Product purpose & release foundation,PRD-PRINC-003,"Engagement mechanics include HP, streak, evolution, Monthly Goals and ratings to encourage regular real AI practice.",MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1,
FG-CORE,Product purpose & release foundation,PRD-PRINC-004,The scoring concept must not reward sheer volume of trivial prompts; Complexity is the base scoring dimension.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1; §7,
FG-CORE,Product purpose & release foundation,PRD-PRINC-005,"The system must maintain an analytical trail across tasks, tools, taxonomy, scoring, goals and activity.",MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1,
FG-CORE,Product purpose & release foundation,PRD-PRINC-006,"Employee, Director, Executive and Admin have distinct information scopes and capabilities.",MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1; §4,
FG-CORE,Product purpose & release foundation,PRD-PRINC-007,AI must not invent facts absent from user input or clarification answers.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1,
FG-CORE,Product purpose & release foundation,PRD-PRINC-008,"If uncertainty remains after at most three clarifications, the system trusts the employee statement and continues evaluation.",MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1; §8,
FG-CORE,Product purpose & release foundation,PRD-PRINC-009,"Complexity classification is uniform across employees and independent of role, personal experience, recipient status or project prestige.",MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1; §7,
FG-CORE,Product purpose & release foundation,PRD-PRINC-010,No role may manually override computed Complexity/Score; change requires task edit and system reprocessing.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1; §4; §17,
FG-CORE,Product purpose & release foundation,PRD-PRINC-011,"Task versions, deletions and system events are retained rather than overwritten.",MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1; §24,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-001,Mobile-first PWA is the primary product form.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-002,Desktop web is an additional interface.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-003,MVP data mutation is online-only.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-004,MVP supports text AI-use-case input.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-005,MVP supports voice input via speech-to-text.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,ff.voiceStt,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-006,"MVP includes AI parsing, normalization, classification, plausibility and scoring.",MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-007,"MVP includes pet HP, coma/recovery, vacation, streak and Evolution XP.",MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-008,MVP includes evolution branches at product-logic level.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1; §11,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-009,MVP includes Monthly AI Goals.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-010,MVP includes employee and directorate ratings.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-011,"MVP includes Personal, Company, Director, Executive and Admin dashboards.",MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-012,MVP includes task taxonomy and AI Tools Directory.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-013,MVP includes in-app notifications.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,ff.inAppNotifications,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-014,MVP includes XLSX/CSV exports by authorized role scope.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1; §22,
FG-CORE,Product purpose & release foundation,PRD-SCOPE-015,MVP includes detailed audit trail and indefinite historical retention.,MVP_IN,P0,REQUIRED_FOR_MVP,Mobile PWA primary; responsive web/desktop as applicable,Employee; authorized management where applicable,Source-defined / no new external contract at Stage 2,NO_RUNTIME_FLAG,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1; §24,
FG-OOS,Explicit MVP exclusions,PRD-OUT-001,Native iOS/Android applications are outside MVP.,OUT_MVP,OUT_OF_SCOPE_MVP,DO_NOT_IMPLEMENT_IN_MVP,Not delivered in MVP,N/A,No MVP dependency,ff.nativeApps,,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.2,
