requirement_id,domain,release_priority,normalized_requirement,runtime_area,stage11_artifacts,stage11_status,external_dependency,test_contract_status,notes
PRD-STR-001,Streak & evolution,P0,An active working day has at least one registered task and increases streak by at most 1.,game-event-to-animation boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Streak calculation stays in Stage 7; Stage 11 consumes committed milestone event only.
PRD-STR-002,Streak & evolution,P0,A working day without tasks resets current streak.,game-event-to-animation boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Streak calculation stays in Stage 7; Stage 11 consumes committed milestone event only.
PRD-STR-003,Streak & evolution,P0,"Weekends, corporate non-working days and vacation freeze streak without increasing it.",game-event-to-animation boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Streak calculation stays in Stage 7; Stage 11 consumes committed milestone event only.
PRD-STR-004,Streak & evolution,P0,Store current streak and personal best streak.,game-event-to-animation boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Streak calculation stays in Stage 7; Stage 11 consumes committed milestone event only.
PRD-STR-005,Streak & evolution,P0,Streak XP rewards occur only on one-time lifetime milestones.,game-event-to-animation boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Streak calculation stays in Stage 7; Stage 11 consumes committed milestone event only.
PRD-STR-006,Streak & evolution,P0,Working milestone baseline: days 5/10/20/40/80/160 → Evolution XP +5/+10/+20/+40/+80/+150.,game-event-to-animation boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Streak calculation stays in Stage 7; Stage 11 consumes committed milestone event only.
PRD-EVO-001,Streak & evolution,P0,Evolution XP is irreversible lifetime progress and never decreases.,evolution visual boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Evolution authority stays in Stage 7; branch-specific art is not invented.
PRD-EVO-002,Streak & evolution,P0,"HP decline, Coma and annual leaderboard reset do not reduce Evolution XP or evolution stage.",evolution visual boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Evolution authority stays in Stage 7; branch-specific art is not invented.
PRD-EVO-003,Streak & evolution,P0,Evolution XP = Lifetime Task Score + Goal XP + Streak Milestone XP + Achievement XP.,evolution visual boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Evolution authority stays in Stage 7; branch-specific art is not invented.
PRD-EVO-004,Streak & evolution,P0,Task Score converts to Evolution XP 1:1.,evolution visual boundary,11_3D_RUNTIME/ANIMATION_STATE_MAPPING.md; 11_3D_RUNTIME/MISSING_EXTERNAL_3D_ASSETS.md; 11_3D_RUNTIME/3D_RUNTIME_FINAL.md,MAPPED,none,CONTRACT_DEFINED_FOR_STAGE15_EXECUTION,Evolution authority stays in Stage 7; branch-specific art is not invented.
