requirement_id,release_priority,integration_boundary,normalized_requirement,stage12_artifacts,stage12_status,external_value_required_now,notes
PRD-TAX-001,P0,internal_directory_not_external_provider,Task taxonomy has two managed levels Category → Subcategory plus free tags.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md#5-non-provider-product-boundaries; 07_AI_RUNTIME/AI_RUNTIME_SPEC.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-TAX-002,P0,internal_directory_not_external_provider,AI selects from the managed category/subcategory dictionary and must not create categories itself.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md#5-non-provider-product-boundaries; 07_AI_RUNTIME/AI_RUNTIME_SPEC.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-TAX-003,P0,internal_directory_not_external_provider,"Admin may add, rename and deactivate taxonomy entries; historical tasks are not automatically reclassified.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md#5-non-provider-product-boundaries; 07_AI_RUNTIME/AI_RUNTIME_SPEC.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-TAX-004,P0,internal_directory_not_external_provider,Each task version records taxonomy_version; editing an old task classifies the new version with current taxonomy.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md#5-non-provider-product-boundaries; 07_AI_RUNTIME/AI_RUNTIME_SPEC.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-TAX-005,P0,internal_directory_not_external_provider,Top-level taxonomy begins with the Product v1.0 category set; subcategory depth remains two managed levels.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md#5-non-provider-product-boundaries; 07_AI_RUNTIME/AI_RUNTIME_SPEC.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-TOOL-001,P0,internal_directory_not_external_provider,AI tools use a centralized directory with canonical name and aliases.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md#5-non-provider-product-boundaries; 07_AI_RUNTIME/AI_RUNTIME_SPEC.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-TOOL-002,P0,internal_directory_not_external_provider,"A task may reference multiple tools and, when explicitly inferable, stores primary tool, tool role and usage order.",12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md#5-non-provider-product-boundaries; 07_AI_RUNTIME/AI_RUNTIME_SPEC.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-TOOL-003,P0,internal_directory_not_external_provider,Unrecognized tool name is preserved and does not block the task; Admin may add it later.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md#5-non-provider-product-boundaries; 07_AI_RUNTIME/AI_RUNTIME_SPEC.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-TOOL-004,P0,internal_directory_not_external_provider,Tool model/version inside an AI service is not a required tracked field.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md#5-non-provider-product-boundaries; 07_AI_RUNTIME/AI_RUNTIME_SPEC.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
PRD-NOTIF-001,P0,in_app_only_external_provider_disabled,MVP notifications are in-app only.,12_INTEGRATIONS/INTEGRATIONS_OVERVIEW.md; 12_INTEGRATIONS/EXTERNAL_NOTIFICATION_PROVIDER_INTERFACE.md; 12_INTEGRATIONS/REAL_EXTERNAL_NOTIFICATION_CONTRACT.md,MAPPED,NO,Provider-neutral/safe no-provider boundary; no vendor endpoint or credential invented.
