stage,path,present,expected_size_bytes,expected_sha256,classification,source_evidence
5,05_DATABASE/DATABASE_SPEC.md,NO,12367,86b7891391cedd3882c5754875891e57cfdc5b6e082a196352ba2ae1fc745af7,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
5,05_DATABASE/schema.sql,NO,39649,fd593ab3373aa817affb250f3b767008ded8dd35dc56dcddc0e873bc17b24822,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
5,05_DATABASE/INITIAL_MIGRATION.sql,NO,39783,8c26486849e45123bc735ba9cd773816cf1b42ad34869065368d52aa679b1bc1,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
5,05_DATABASE/erd.mmd,NO,2387,0d33da762c94875e93615d7b24239aa893c37ca92b85ede858f29d1fa592fedd,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
5,05_DATABASE/INDEX_STRATEGY.md,NO,2367,9aa480d36a2917570f4845d343687e44950f036a61df3a9f57c878c078178623,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
5,05_DATABASE/DATA_LIFECYCLE.md,NO,2467,a5eae43be3524a7af74833edb72a46450e002c604d30e9bf9e159db88256e73f,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
5,05_DATABASE/SEED_DATA_SPEC.md,NO,2175,12fd36aaaf4789126b403e1a529b841c33b089d382144e6b996fff0093bb16fc,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
5,05_DATABASE/SQL_VALIDATION_REPORT.md,NO,1128,ed3fa031fc8c9770ba22f715b4dcf6a1d1f539b1dfadaef660e35cb1727020d9,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
5,00_START_HERE/STAGE_5_SELF_AUDIT.md,NO,3891,96e83ea4cdcb839606af578fac2953e87de82b9252ac83d1382a50f7edb449b6,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
5,00_START_HERE/stage_5_manifest.json,NO,SELF_MANIFEST_SIZE_NOT_SOURCE_HASHED,SELF_MANIFEST_HASH_NOT_SOURCE_HASHED,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/AUTH_SPEC.md,NO,5101,d0f2fbff9c2423931dd0d8042cc25116029f016a3f3287b919013f868d5d6e6a,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/SESSION_CONTRACT.md,NO,3337,6db641cbf42ce10a2a0e0e53eeaae89cab6c2606301d1a82f788f72e9ba75676,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/RBAC_MATRIX.md,NO,3570,432835452f338cb0ecd681f9ece851b9d07888e93b9e0c689d2d5f5e0a815435,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/RBAC_MATRIX.csv,NO,3478,3d23da1fb500a5425900a6ad62270f25bd8a5826b5564a899d9190078ea2314e,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/OBJECT_AUTHORIZATION.md,NO,4427,77cdbbef86e6959e1c4620c864cc66919e1d1d25268fdc8852fd2fd9ec3068a5,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/PERSONNEL_PROVIDER_INTERFACE.md,NO,4565,9ab3f0491743b003b304373c5d575dfdc1e55c36767a5a23aa723ef03ecc0686,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/MOCK_PERSONNEL_PROVIDER_SPEC.md,NO,1983,4da02aff1d63350bd41bdab27140b54e787f90d59271422dd01871aa499842d1,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/REAL_PERSONNEL_CONTRACT.md,NO,3376,0261621bd6ee8daf2261b96ea42673c88bae3da4d17d8b2dc157d87df191a6e0,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/PERSONNEL_SYNC_MODEL.md,NO,4318,5c600f721426de21bf728df44a6337a0c27ce61afaf8017a0dc64d202a691923,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/OPEN_INTEGRATION_ITEMS.md,NO,895,b1fd5a9a3271f2050cdfbe58e222a398395629e7bbd6741fc34b82aa8c1cdba2,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/OPEN_INTEGRATION_ITEMS.csv,NO,2614,db65442a940bf17db025588af4e90625f74e022dc7ba28824af869d9d1b2ffc6,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/auth_flow.mmd,NO,1122,c604a7dd3b086b90fbe25f8ad9da9262317065878278ecff08bdf1f608bc0fb3,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/personnel_sync_flow.mmd,NO,842,989353714604d1becf91e5d886f8dfe379958b964c295a9f5f96df907a396123,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/API_AUTHORIZATION_MATRIX.csv,NO,13912,c30065261baa8d8989c336016b63121c4cf0728f3bf271ca98b68cebd05e1b8e,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,09_AUTH_RBAC_PERSONNEL/AUTH_RBAC_PERSONNEL_TRACEABILITY.csv,NO,18294,0b579d74919789e0b70ab123886b18053ffb4ef43e67a24114049a17b2e4165f,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,00_START_HERE/STAGE_9_SELF_AUDIT.md,NO,3601,ea26037f6a1deb8571a59520d5aa6952741f59a3d410f6212c7485edb5803cb4,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
9,00_START_HERE/stage_9_manifest.json,NO,SELF_MANIFEST_SIZE_NOT_SOURCE_HASHED,SELF_MANIFEST_HASH_NOT_SOURCE_HASHED,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/TECHNICAL_SECURITY_BASELINE.md,NO,9750,127df5947bf70717c971c2e926f6253303fbbd78e75e14bffd4bed5b5c27a728,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/THREAT_MODEL.md,NO,1339,9075ec491cb84fb01dd700731d99f162b112ff1911db7e486720ce459126ae31,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/THREAT_REGISTER.csv,NO,5526,dab62fc46aa72f211868b5729224f92b24e1651877d2ccd689cda551efb06f9a,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/AUDIT_LOG_SPEC.md,NO,2655,fe450cdf3f285692d8fbf2e60e10c92ce01a34286bffd0530ee6804c7a22fe72,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/AUDIT_EVENT_CATALOG.csv,NO,2836,60611623bd2e5fd1ba1031513e4be253b6016e18453523cc6e2b5821a917193e,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
14,14_SECURITY_OBSERVABILITY/LOGGING_SPEC.md,NO,1534,34da1a56bad970dca1550c34d4220a8a2ac5c879bae1c6bb6cf3aa31fcc2dee7,MANDATORY_INTERNAL_CANONICAL,File Library stage manifest
