key,class,mvp_default,production_override_policy,contract
ff.realtime3d,RUNTIME,true,allowed_without_product_semantic_change,Hybrid realtime path; fallback mandatory.
ff.dynamicLightingVariants,RUNTIME,false,allowed_without_product_semantic_change,Day baseline.
ff.ktx2,RUNTIME,false,allowed_without_product_semantic_change,Optional only.
ff.voiceStt,RUNTIME,true,allowed_without_product_semantic_change,Voice/STT is MVP.
ff.inAppNotifications,RUNTIME,true,allowed_without_product_semantic_change,In-app notifications are MVP.
ff.ambientContext,RUNTIME,true,allowed_without_product_semantic_change,Saint Petersburg ambient context.
dep.weatherProviderAvailable,DEPENDENCY_AVAILABILITY,false,allowed_when_dependency_verified,Optional weather provider.
ff.petLightInteractions,RUNTIME,true,allowed_without_product_semantic_change,Visual interaction only.
ff.exports,RUNTIME,true,allowed_without_product_semantic_change,XLSX/CSV exports.
asset.evolutionBranchArtAvailable,DEPENDENCY_AVAILABILITY,false,allowed_when_dependency_verified,Base visual fallback.
content.achievementInventoryFrozen,DEPENDENCY_AVAILABILITY,false,allowed_when_dependency_verified,Final catalog not frozen.
asset.releaseSpecificAchievementArtAvailable,DEPENDENCY_AVAILABILITY,false,allowed_when_dependency_verified,Generic fallback.
asset.finalBrandIdentityAvailable,DEPENDENCY_AVAILABILITY,false,allowed_when_dependency_verified,Final identity not supplied.
asset.finalProduction3dAvailable,DEPENDENCY_AVAILABILITY,false,allowed_when_dependency_verified,Final GLBs external.
ff.nativeApps,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,Native apps out of MVP.
ff.offlineMutation,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,Online-only mutation/auth.
ff.externalNotificationChannels,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,External channels out of MVP.
ff.taskAttachments,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,Attachments out of MVP.
ff.taskUrlFetch,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,No URL crawling/preview/analysis.
ff.socialFeatures,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,No social features.
ff.currencyShop,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,No currency/shop.
ff.sound,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,Sound out of MVP.
ff.backdatedTasks,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,No backdating.
ff.historicalAutoReclassification,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,No historical auto-reclassification.
ff.streakShield,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,Streak Shield excluded.
ff.scoringRetrainingLoop,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,Future.
ff.flexibleRetentionPolicy,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,Future.
ff.publicDirectorateBreakdown,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,Future decision.
ff.productionSso,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,Future.
ff.hrVacationSync,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,Future.
ff.resourceAnalysis,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,Future.
ff.advancedMaturityAnalytics,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,Future.
ff.additionalMascots,HARD_DISABLED_MVP,false,FORBIDDEN_IN_MVP,Future.
