stage,path,present,current_size_bytes,current_sha256,historical_expected_size_bytes,historical_expected_sha256,canonical_status,validation
5,05_DATABASE/DATABASE_SPEC.md,YES,6682,d85dd5e7d5835cd221d899611110850d70ac5fac48f7651d0f3d8c83851edb3a,12367,86b7891391cedd3882c5754875891e57cfdc5b6e082a196352ba2ae1fc745af7,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
5,05_DATABASE/schema.sql,YES,37834,4212b023eace17c6067106bd03ec93c66ef544ecb40fae7e468dce31e9de88a4,39649,fd593ab3373aa817affb250f3b767008ded8dd35dc56dcddc0e873bc17b24822,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
5,05_DATABASE/INITIAL_MIGRATION.sql,YES,37925,b2868fa7cd7dd2b580df87bd56ed65b155268302a5b5fda140e1ab01d789b338,39783,8c26486849e45123bc735ba9cd773816cf1b42ad34869065368d52aa679b1bc1,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
5,05_DATABASE/erd.mmd,YES,1513,35066f6440dabfa0d86d17f342530bb3eb4405da66e51ba607ae59015227001c,2387,0d33da762c94875e93615d7b24239aa893c37ca92b85ede858f29d1fa592fedd,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
5,05_DATABASE/INDEX_STRATEGY.md,YES,1221,97f82db90ba4423362baea015daccb715cebace774d9945e07a583180ab029cc,2367,9aa480d36a2917570f4845d343687e44950f036a61df3a9f57c878c078178623,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
5,05_DATABASE/DATA_LIFECYCLE.md,YES,1604,1fb49538aa83c4a5d9c8acb7d2d647b15ec39314a5a4c3cc01e6eff91992db79,2467,a5eae43be3524a7af74833edb72a46450e002c604d30e9bf9e159db88256e73f,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
5,05_DATABASE/SEED_DATA_SPEC.md,YES,1122,e659f6d8471ad59824cb2f9289d16a4319878664303ed86ea9baf6c4f90d37bb,2175,12fd36aaaf4789126b403e1a529b841c33b089d382144e6b996fff0093bb16fc,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
5,05_DATABASE/SQL_VALIDATION_REPORT.md,YES,1084,f00b1dd088dddadc21731d9b863047f28f66e292c97e48cd24a1c5accf86ea69,1128,ed3fa031fc8c9770ba22f715b4dcf6a1d1f539b1dfadaef660e35cb1727020d9,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
5,00_START_HERE/STAGE_5_SELF_AUDIT.md,YES,1063,958cf4c24e9221e2d1ec8cf6d1e158dcb80364879d19f2bfd87db0467312884d,3891,96e83ea4cdcb839606af578fac2953e87de82b9252ac83d1382a50f7edb449b6,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
5,00_START_HERE/stage_5_manifest.json,YES,2632,e2ac2f897556357ed06c2204b1347ac15d53851b161d7ff9abc9de8e18832c96,SELF_MANIFEST_SIZE_NOT_SOURCE_HASHED,SELF_MANIFEST_HASH_NOT_SOURCE_HASHED,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/AUTH_SPEC.md,YES,2345,69dc3acba2cc25825b89d65d6a326ca7ecc4e6323a0f152b14dcb1edd7a05889,5101,d0f2fbff9c2423931dd0d8042cc25116029f016a3f3287b919013f868d5d6e6a,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/SESSION_CONTRACT.md,YES,1257,efb7db3ee4879c21c1a980d1203a30b2464fdf8a23074885e11af237d8569f4c,3337,6db641cbf42ce10a2a0e0e53eeaae89cab6c2606301d1a82f788f72e9ba75676,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/RBAC_MATRIX.md,YES,558,1e76c93b73daed7ddcfc727fb8a2f777400842238d165297a4af6703b849d8ec,3570,432835452f338cb0ecd681f9ece851b9d07888e93b9e0c689d2d5f5e0a815435,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/RBAC_MATRIX.csv,YES,2457,d8e4b6190af6157149811e5af3d3c94569847d1e43cb8e6fe663b967c1c2cf1f,3478,3d23da1fb500a5425900a6ad62270f25bd8a5826b5564a899d9190078ea2314e,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/OBJECT_AUTHORIZATION.md,YES,1254,6d4dddd8a188a6269b69d3528077e5b06f87dee4be40c9c513cab43f28dc637c,4427,77cdbbef86e6959e1c4620c864cc66919e1d1d25268fdc8852fd2fd9ec3068a5,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/PERSONNEL_PROVIDER_INTERFACE.md,YES,1178,88ce2c5df3029166f0bdf02df52aba947b251c3aa4f6e71a441a27591cd72a57,4565,9ab3f0491743b003b304373c5d575dfdc1e55c36767a5a23aa723ef03ecc0686,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/MOCK_PERSONNEL_PROVIDER_SPEC.md,YES,619,44654131fdd8ca6aaa6d7960d640aefcc93403cbd0ac5a969b95b229842a097a,1983,4da02aff1d63350bd41bdab27140b54e787f90d59271422dd01871aa499842d1,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/REAL_PERSONNEL_CONTRACT.md,YES,757,0e327519a09da964aabed8dc63233e83ccd767bf5aaccc4628ae318d1e4c2aba,3376,0261621bd6ee8daf2261b96ea42673c88bae3da4d17d8b2dc157d87df191a6e0,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/PERSONNEL_SYNC_MODEL.md,YES,1119,b20c285974a9984891cd8d82ac30b66a2abe9057f3d98d861568344737db7a1c,4318,5c600f721426de21bf728df44a6337a0c27ce61afaf8017a0dc64d202a691923,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/OPEN_INTEGRATION_ITEMS.md,YES,271,cdd0802c7c03a8407634f76d508cce3d7d63695e3af4154d545fbfc86a80baa1,895,b1fd5a9a3271f2050cdfbe58e222a398395629e7bbd6741fc34b82aa8c1cdba2,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/OPEN_INTEGRATION_ITEMS.csv,YES,937,28f7ca68c9d666c31065b70d4c3f1551cb5bb916394a8521ca61bc86a683ebb9,2614,db65442a940bf17db025588af4e90625f74e022dc7ba28824af869d9d1b2ffc6,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/auth_flow.mmd,YES,675,65a0d3d3eeedec3ba6285825984380d6496f482be6ef215fb6d13dc56993d8ac,1122,c604a7dd3b086b90fbe25f8ad9da9262317065878278ecff08bdf1f608bc0fb3,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/personnel_sync_flow.mmd,YES,520,58662e116004bba0a7dad1684f942b2eba305ca9f116e1e2ca7216154d45db60,842,989353714604d1becf91e5d886f8dfe379958b964c295a9f5f96df907a396123,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/API_AUTHORIZATION_MATRIX.csv,YES,8273,c5a652d00afd3c70f21beed747397ec9824db86e21dec9853e9ef5d228a31ff0,13912,c30065261baa8d8989c336016b63121c4cf0728f3bf271ca98b68cebd05e1b8e,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,09_AUTH_RBAC_PERSONNEL/AUTH_RBAC_PERSONNEL_TRACEABILITY.csv,YES,11281,35842d8f574c1d2ba40c540dd975b7e3d3110be6b8e9f207317ae4109deb755d,18294,0b579d74919789e0b70ab123886b18053ffb4ef43e67a24114049a17b2e4165f,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,00_START_HERE/STAGE_9_SELF_AUDIT.md,YES,872,4954e9dc2a77c6d6d93e59e4951154a48f4c47f5d9cf5b81e4162315e9f3ea9f,3601,ea26037f6a1deb8571a59520d5aa6952741f59a3d410f6212c7485edb5803cb4,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
9,00_START_HERE/stage_9_manifest.json,YES,4406,5fad73f0fd527f78089cc7376ec194e10ed72baeb2375645ac9d44ab4ae26840,SELF_MANIFEST_SIZE_NOT_SOURCE_HASHED,SELF_MANIFEST_HASH_NOT_SOURCE_HASHED,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
14,14_SECURITY_OBSERVABILITY/TECHNICAL_SECURITY_BASELINE.md,YES,4240,3a937f8edadf6cfb54f3773d5579672b026903335462e30e8c69c2f7efded260,9750,127df5947bf70717c971c2e926f6253303fbbd78e75e14bffd4bed5b5c27a728,CURRENT_REMEDIATED_SUPERSEDES_HISTORICAL_HASH,PASS
