requirement_id,domain,normalized_requirement,requirement_kind,stage1_status,source_tier,source_file,source_section,source_requirement_ids,decision_id,release_priority,target_master_stage,architecture_ref,db_ref,api_ref,implementation_ref,test_ref,notes
PRD-PRINC-001,Product purpose,Corporate system records and develops real employee AI use; Tamagotchi is an engagement layer rather than the core business object.,MVP_REQUIRED,RESOLVED_FROM_SOURCE,4,TZ_AI_Tamagotchi_v1.0 (1).docx,§1,,,P0,7/8/15,04_ARCHITECTURE/ARCHITECTURE_FINAL.md; 17_IMPLEMENTATION/WORK_PACKAGE_CATALOG.csv#WP01,N/A — no direct persistence contract,06_API/openapi_final_v1.yaml,17_IMPLEMENTATION/IMPLEMENTATION_BACKLOG.csv#IMP-001,REQT-PRD-PRINC-001,Stage19/21 current trace rebuilt from Feature Matrix + backlog + QA; external gate=NONE
PRD-PRINC-002,Product purpose,Employees can describe completed AI use cases in free text or voice; the system structures the data.,MVP_REQUIRED,RESOLVED_FROM_SOURCE,4,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1,,,P0,7/8/15,04_ARCHITECTURE/ARCHITECTURE_FINAL.md; 17_IMPLEMENTATION/WORK_PACKAGE_CATALOG.csv#WP01,N/A — no direct persistence contract,06_API/openapi_final_v1.yaml,17_IMPLEMENTATION/IMPLEMENTATION_BACKLOG.csv#IMP-002,REQT-PRD-PRINC-002,Stage19/21 current trace rebuilt from Feature Matrix + backlog + QA; external gate=NONE
PRD-PRINC-003,Product purpose,"Engagement mechanics include HP, streak, evolution, Monthly Goals and ratings to encourage regular real AI practice.",MVP_REQUIRED,RESOLVED_FROM_SOURCE,4,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1,,,P0,7/8/15,04_ARCHITECTURE/ARCHITECTURE_FINAL.md; 17_IMPLEMENTATION/WORK_PACKAGE_CATALOG.csv#WP01,N/A — no direct persistence contract,06_API/openapi_final_v1.yaml,17_IMPLEMENTATION/IMPLEMENTATION_BACKLOG.csv#IMP-003,REQT-PRD-PRINC-003,Stage19/21 current trace rebuilt from Feature Matrix + backlog + QA; external gate=NONE
PRD-PRINC-004,Product purpose,The scoring concept must not reward sheer volume of trivial prompts; Complexity is the base scoring dimension.,MVP_REQUIRED,RESOLVED_FROM_SOURCE,4,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1; §7,,,P0,7/8/15,04_ARCHITECTURE/ARCHITECTURE_FINAL.md; 17_IMPLEMENTATION/WORK_PACKAGE_CATALOG.csv#WP01,N/A — no direct persistence contract,06_API/openapi_final_v1.yaml,17_IMPLEMENTATION/IMPLEMENTATION_BACKLOG.csv#IMP-004,REQT-PRD-PRINC-004,Stage19/21 current trace rebuilt from Feature Matrix + backlog + QA; external gate=NONE
PRD-PRINC-005,Product purpose,"The system must maintain an analytical trail across tasks, tools, taxonomy, scoring, goals and activity.",MVP_REQUIRED,RESOLVED_FROM_SOURCE,4,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1,,,P0,7/8/15,04_ARCHITECTURE/ARCHITECTURE_FINAL.md; 17_IMPLEMENTATION/WORK_PACKAGE_CATALOG.csv#WP01,N/A — no direct persistence contract,06_API/openapi_final_v1.yaml,17_IMPLEMENTATION/IMPLEMENTATION_BACKLOG.csv#IMP-005,REQT-PRD-PRINC-005,Stage19/21 current trace rebuilt from Feature Matrix + backlog + QA; external gate=NONE
PRD-PRINC-006,Product purpose,"Employee, Director, Executive and Admin have distinct information scopes and capabilities.",MVP_REQUIRED,RESOLVED_FROM_SOURCE,4,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1; §4,,,P0,7/8/15,04_ARCHITECTURE/ARCHITECTURE_FINAL.md; 17_IMPLEMENTATION/WORK_PACKAGE_CATALOG.csv#WP01,N/A — no direct persistence contract,06_API/openapi_final_v1.yaml,17_IMPLEMENTATION/IMPLEMENTATION_BACKLOG.csv#IMP-006,REQT-PRD-PRINC-006,Stage19/21 current trace rebuilt from Feature Matrix + backlog + QA; external gate=NONE
PRD-PRINC-007,AI integrity,AI must not invent facts absent from user input or clarification answers.,MVP_REQUIRED,RESOLVED_FROM_SOURCE,4,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1,,,P0,7/8/15,04_ARCHITECTURE/ARCHITECTURE_FINAL.md; 17_IMPLEMENTATION/WORK_PACKAGE_CATALOG.csv#WP01,N/A — no direct persistence contract,06_API/openapi_final_v1.yaml,17_IMPLEMENTATION/IMPLEMENTATION_BACKLOG.csv#IMP-007,REQT-PRD-PRINC-007,Stage19/21 current trace rebuilt from Feature Matrix + backlog + QA; external gate=NONE
PRD-PRINC-008,AI integrity,"If uncertainty remains after at most three clarifications, the system trusts the employee statement and continues evaluation.",MVP_REQUIRED,RESOLVED_FROM_SOURCE,4,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1; §8,,,P0,7/8/15,04_ARCHITECTURE/ARCHITECTURE_FINAL.md; 17_IMPLEMENTATION/WORK_PACKAGE_CATALOG.csv#WP01,N/A — no direct persistence contract,06_API/openapi_final_v1.yaml,17_IMPLEMENTATION/IMPLEMENTATION_BACKLOG.csv#IMP-008,REQT-PRD-PRINC-008,Stage19/21 current trace rebuilt from Feature Matrix + backlog + QA; external gate=NONE
PRD-PRINC-009,Scoring integrity,"Complexity classification is uniform across employees and independent of role, personal experience, recipient status or project prestige.",MVP_REQUIRED,RESOLVED_FROM_SOURCE,4,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1; §7,,,P0,7/8/15,04_ARCHITECTURE/ARCHITECTURE_FINAL.md; 17_IMPLEMENTATION/WORK_PACKAGE_CATALOG.csv#WP01,N/A — no direct persistence contract,06_API/openapi_final_v1.yaml,17_IMPLEMENTATION/IMPLEMENTATION_BACKLOG.csv#IMP-009,REQT-PRD-PRINC-009,Stage19/21 current trace rebuilt from Feature Matrix + backlog + QA; external gate=NONE
PRD-PRINC-010,Scoring integrity,No role may manually override computed Complexity/Score; change requires task edit and system reprocessing.,MVP_REQUIRED,RESOLVED_FROM_SOURCE,4,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1; §4; §17,,,P0,7/8/15,04_ARCHITECTURE/ARCHITECTURE_FINAL.md; 17_IMPLEMENTATION/WORK_PACKAGE_CATALOG.csv#WP01,N/A — no direct persistence contract,06_API/openapi_final_v1.yaml,17_IMPLEMENTATION/IMPLEMENTATION_BACKLOG.csv#IMP-010,REQT-PRD-PRINC-010,Stage19/21 current trace rebuilt from Feature Matrix + backlog + QA; external gate=NONE
