source_id,package_scope,inventory_level,logical_path,filename,type,version,created_at,modified_at,size_bytes,sha256,hash_basis,apparent_status,precedence_tier,project_role,availability,nested_file_count,evidence_source,stage0_note
GOV-001,predevelopment,file,PROMPT_AI_Development_Package_Generator_v1.0.md,PROMPT_AI_Development_Package_Generator_v1.0.md,md,1.0,2026-08-31T11:30:29Z,2026-08-31T11:30:29Z,,,,CURRENT_GOVERNING_MASTER_PROMPT,governance,"Controls Stage 0-21 process, precedence, anti-hallucination and stage gates",DIRECT_UPLOAD_INDEXED_AND_READ,,Current uploaded file,Current governing instruction; no SHA/size exposed by file index.
GOV-002,predevelopment,file,TZ_AI_Development_Package_Generator_v1.0.md,TZ_AI_Development_Package_Generator_v1.0.md,md,1.0,2026-08-31T11:30:29Z,2026-08-31T11:30:29Z,,,,CURRENT_GOVERNING_TZ,governance,"Defines Development Package outputs, gates and Stage 0 requirements",DIRECT_UPLOAD_INDEXED_AND_READ,,Current uploaded file,Exact Stage 0 deliverable contract confirmed.
GOV-003,predevelopment,file,README_USE.md,README_USE.md,md,current,2026-08-31T11:30:29Z,2026-08-31T11:30:29Z,,,,CURRENT_USAGE_README,governance,Usage instructions for Development Package generator inputs,DIRECT_UPLOAD_INDEXED_AND_READ,,Current uploaded file,Confirms prompt+TZ+Product/Design+Visual+Readiness should be supplied together.
PROD-001,product,file,TZ_AI_Tamagotchi_v1.0 (1).docx,TZ_AI_Tamagotchi_v1.0 (1).docx,docx,1.0,2026-08-31T10:52:09Z,2026-08-31T10:52:09Z,,,,CURRENT_PRODUCT_TZ_INPUT_INSTANCE,product,"Product/business semantics, scope, roles, scoring, game mechanics, data semantics, acceptance criteria",DIRECT_UPLOAD_INDEXED_AND_READ,,Current uploaded Product TZ,Latest supplied Product Specification instance.
PROD-H01,product,file,TZ_AI_Tamagotchi_v1.0.docx,TZ_AI_Tamagotchi_v1.0.docx,docx,1.0,2026-08-27T09:04:47Z,2026-08-27T09:04:47Z,,,,HISTORICAL_DUPLICATE_INSTANCE,historical,Prior Product TZ copy,FILE_LIBRARY_INDEXED,,File Library metadata,Prior same logical v1.0 Product TZ instance. Byte identity not proven.
PROD-H02,product,file,TZ_AI_Tamagotchi_v1.0.docx,TZ_AI_Tamagotchi_v1.0.docx,docx,1.0,2026-08-27T08:04:33Z,2026-08-27T08:04:33Z,,,,HISTORICAL_DUPLICATE_INSTANCE,historical,Prior Product TZ copy,FILE_LIBRARY_INDEXED,,File Library metadata,Older same logical v1.0 Product TZ instance. Byte identity not proven.
PROD-H03,product,file,AI_Tamagochi_TZ_v1.0.docx,AI_Tamagochi_TZ_v1.0.docx,docx,1.0,2026-08-26T13:59:47Z,2026-08-26T13:59:47Z,,,,OLDER_PRODUCT_DRAFT_OR_VARIANT,historical,Earlier Product Specification variant,FILE_LIBRARY_INDEXED,,File Library metadata,Earlier filename/spelling and timestamp; not current.
DES-001,design,file,TZ_Design_Lyuboznayka_Pulkovo_v1.0.docx,TZ_Design_Lyuboznayka_Pulkovo_v1.0.docx,docx,1.0,2026-08-27T09:04:47Z,2026-08-27T09:04:47Z,,,,LATEST_INDEXED_DESIGN_TZ_INSTANCE,design,Design Specification / visual and interaction semantics,FILE_LIBRARY_INDEXED_AND_READ,,File Library,Latest retrieved Design Specification v1.0. Later approved v2 visual overrides supersede only explicit conflicts.
DES-H01,design,file,TZ_Design_Lyuboznayka_Pulkovo_v1.0.docx,TZ_Design_Lyuboznayka_Pulkovo_v1.0.docx,docx,1.0,2026-08-27T08:04:27Z,2026-08-27T08:04:27Z,,,,HISTORICAL_DUPLICATE_INSTANCE,historical,Design Specification / visual and interaction semantics,FILE_LIBRARY_INDEXED,,File Library,Older same logical design v1.0 instance. Later approved v2 visual overrides supersede only explicit conflicts.
DES-H02,design,file,TZ_Design_Lyuboznayka_Pulkovo_v1.0.docx,TZ_Design_Lyuboznayka_Pulkovo_v1.0.docx,docx,1.0,2026-08-27T08:00:34Z,2026-08-27T08:00:34Z,,,,HISTORICAL_DUPLICATE_INSTANCE,historical,Design Specification / visual and interaction semantics,FILE_LIBRARY_INDEXED,,File Library,Oldest retrieved same logical design v1.0 instance. Later approved v2 visual overrides supersede only explicit conflicts.
