requirement_id,feature_group_id,priority,critical,test_ids,suite_id,acceptance_coverage,automation_target,external_evidence,source_file,source_section,notes
PRD-PRINC-001,FG-CORE,P0,YES,REQT-PRD-PRINC-001,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§1,Automated acceptance test required before release candidate.
PRD-PRINC-002,FG-CORE,P0,YES,REQT-PRD-PRINC-002,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1,Automated acceptance test required before release candidate.
PRD-PRINC-003,FG-CORE,P0,YES,REQT-PRD-PRINC-003,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1,Automated acceptance test required before release candidate.
PRD-PRINC-004,FG-CORE,P0,YES,REQT-PRD-PRINC-004,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1; §7,Automated acceptance test required before release candidate.
PRD-PRINC-005,FG-CORE,P0,YES,REQT-PRD-PRINC-005,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1,Automated acceptance test required before release candidate.
PRD-PRINC-006,FG-CORE,P0,YES,REQT-PRD-PRINC-006,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§1.1; §4,Automated acceptance test required before release candidate.
PRD-PRINC-007,FG-CORE,P0,YES,REQT-PRD-PRINC-007,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1,Automated acceptance test required before release candidate.
PRD-PRINC-008,FG-CORE,P0,YES,REQT-PRD-PRINC-008,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1; §8,Automated acceptance test required before release candidate.
PRD-PRINC-009,FG-CORE,P0,YES,REQT-PRD-PRINC-009,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1; §7,Automated acceptance test required before release candidate.
PRD-PRINC-010,FG-CORE,P0,YES,REQT-PRD-PRINC-010,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1; §4; §17,Automated acceptance test required before release candidate.
PRD-PRINC-011,FG-CORE,P0,YES,REQT-PRD-PRINC-011,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§2.1; §24,Automated acceptance test required before release candidate.
PRD-SCOPE-001,FG-CORE,P0,YES,REQT-PRD-SCOPE-001,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,Automated acceptance test required before release candidate.
PRD-SCOPE-002,FG-CORE,P0,YES,REQT-PRD-SCOPE-002,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,Automated acceptance test required before release candidate.
PRD-SCOPE-003,FG-CORE,P0,YES,REQT-PRD-SCOPE-003,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,Automated acceptance test required before release candidate.
PRD-SCOPE-004,FG-CORE,P0,YES,REQT-PRD-SCOPE-004,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,Automated acceptance test required before release candidate.
PRD-SCOPE-005,FG-CORE,P0,YES,REQT-PRD-SCOPE-005,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,Automated acceptance test required before release candidate.
PRD-SCOPE-006,FG-CORE,P0,YES,REQT-PRD-SCOPE-006,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,Automated acceptance test required before release candidate.
PRD-SCOPE-007,FG-CORE,P0,YES,REQT-PRD-SCOPE-007,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,Automated acceptance test required before release candidate.
PRD-SCOPE-008,FG-CORE,P0,YES,REQT-PRD-SCOPE-008,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1; §11,Automated acceptance test required before release candidate.
PRD-SCOPE-009,FG-CORE,P0,YES,REQT-PRD-SCOPE-009,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,Automated acceptance test required before release candidate.
PRD-SCOPE-010,FG-CORE,P0,YES,REQT-PRD-SCOPE-010,QA-S01,COVERED,AUTOMATED,NO,TZ_AI_Tamagotchi_v1.0 (1).docx,§3.1,Automated acceptance test required before release candidate.
