screen_id,route,method,path,operation_id,roles,object_scope,retry_policy,idempotency_mode,request_schema,response_schema,frontend_behavior,coverage_status
SCR_ADMIN_AUDIT,/admin/audit,GET,/v1/admin/audit,listAuditLog,admin,whole company admin,safe_read,none,NONE,AuditPage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_CALENDAR,/admin/calendar,GET,/v1/admin/calendar,getCorporateCalendar,admin,whole company admin,safe_read,none,NONE,CalendarPage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_CALENDAR,/admin/calendar,PUT,/v1/admin/calendar/{date},setCorporateCalendarDay,admin,whole company admin,retry_same_idempotency_key,required,CalendarDayUpdate,CalendarDay,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_ORG,/admin/org,GET,/v1/admin/directorates,listAdminDirectorates,admin,whole company admin,safe_read,none,NONE,DirectoratePage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_ORG,/admin/org,POST,/v1/admin/directorates,createDirectorate,admin,whole company admin,retry_same_idempotency_key,required,DirectorateCreate,Directorate,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_ORG,/admin/org,PATCH,/v1/admin/directorates/{directorateId},updateDirectorate,admin,whole company admin,retry_same_idempotency_key,required,DirectoratePatch,Directorate,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_USERS,/admin/users,GET,/v1/admin/employees,listAdminEmployees,admin,whole company admin,safe_read,none,NONE,AdminEmployeePage,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_USERS,/admin/users,PATCH,/v1/admin/employees/{employeeId},updateAdminEmployee,admin,whole company admin,retry_same_idempotency_key,required,AdminEmployeePatch,AdminEmployee,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_AUDIT,/admin/audit,GET,/v1/admin/tasks/{taskId}/scoring-trace,getTaskScoringTrace,admin,whole company technical trace,safe_read,none,NONE,ScoringTrace,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_TAXONOMY,/admin/taxonomy,GET,/v1/admin/taxonomy/versions,listTaxonomyVersions,admin,whole company admin,safe_read,none,NONE,TaxonomyVersionList,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
SCR_ADMIN_TAXONOMY,/admin/taxonomy,POST,/v1/admin/taxonomy/versions,createTaxonomyVersion,admin,whole company admin,retry_same_idempotency_key,required,TaxonomyVersionCreate,TaxonomyVersion,Typed OpenAPI client; backend authorization authoritative.,SCREEN_MAPPED
