check_id,relationship,status,evidence,remediation
XDC-01,requirements ↔ decisions,PASS,294/294 master rows now carry a real decision_id or explicit NO_SEPARATE_DECISION_REQUIRED marker.,Master trace reconciled to 294 rows.
XDC-02,decisions ↔ architecture,PASS,294/294 current rows have explicit architecture/module references after Stage-19 normalization.,Architecture refs normalized from current Stage-4 module ownership.
XDC-03,architecture ↔ DB,BLOCKED_PHYSICAL_SOURCE_MISSING,"Stage-4 DB architecture exists, but canonical physical 05_DATABASE folder is absent from package runtime.",Restore exact Stage-5 canonical files from File Library/source manifest; do not recreate SQL by inference.
XDC-04,DB ↔ API,BLOCKED_PHYSICAL_SOURCE_MISSING,"Final API has 64 strict operations and DB refs, but executable Stage-5 SQL/migration cannot be physically revalidated in package.",Restore exact 05_DATABASE before Stage 20.
XDC-05,API ↔ frontend screens,PASS,SCREEN_TO_API_MATRIX rows=81; referenced operationIds=64; unknown=0; uncovered API ops=0.,none
XDC-06,roles ↔ endpoint authorization,PASS_WITH_PHYSICAL_RECOVERY_REQUIRED,"OpenAPI roles valid=True; public=1; protected=63; matches Stage-9 manifest evidence, but physical 09_AUTH_RBAC_PERSONNEL folder is missing.",Restore exact Stage-9 canonical files before Stage 20.
XDC-07,AI schema ↔ DB ↔ API,BLOCKED_PHYSICAL_SOURCE_MISSING,"AI complexity enum=['C1', 'C2', 'C3', 'C4', 'C5']; API contract parses; DB physical canonical schema is missing so three-way audit cannot be completed.",Restore exact 05_DATABASE; then rerun SQL/API field-level validation.
XDC-08,game rules ↔ game_config,PASS,"Config score mapping={'C1': 1, 'C2': 5, 'C3': 15, 'C4': 40, 'C5': 100}; initial HP=100; C1..C5 schema enum=['C1', 'C2', 'C3', 'C4', 'C5']; current frozen baseline consistent.",none
XDC-09,visual package ↔ frontend integration,PASS_CONTRACT_SOURCE_COPY_PENDING,Frontend contract points to current developer handoff/production-export-only asset consumption and current Home/nav overrides. Actual source copies are not yet under 01_INPUT_SOURCES and are expected for final packaging.,Stage21 must copy current canonical visual source/handoff bytes; no deprecated assets.
XDC-10,3D spec ↔ available assets/fallbacks,PASS_CONTRACT_EXTERNAL_ASSETS,"Stage-11 Hybrid contract, loading/fallback rules and no-fake-GLB rule are internally consistent; final production GLBs/KTX2 remain explicit external dependencies.",Stage21 copies canonical visual package; external production asset gate remains open.
XDC-11,tests ↔ acceptance,PASS,QA trace=294; acceptance trace=294; critical rows=274; all 294 requirements map to tests.,none
XDC-12,backlog ↔ requirements,PASS,Feature Matrix=294; implementation backlog=294; exact requirement ID sets match=True.,none
XDC-13,environment variables ↔ architecture,PASS,Config catalog keys=70; frontend-exposable secret keys=0; provider/config boundaries align with Stage-3/4/12/16 abstractions.,none
XDC-14,build prompt ↔ package,BLOCKED_PHYSICAL_SOURCE_MISSING,Build contract has 29 stages 0–28 and explicitly requires canonical Stage-5/9/14 files at Build stages 3/5/23; those folders are physically absent.,Restore exact Stage-5/9/14 folders before Stage20/21; Build Stage0 must remain a hard gate.
XDC-15,release scope ↔ Feature Matrix,PASS,RELEASE_SCOPE corpus and priority counts reconciled to current 294-row Feature Matrix.,Updated RELEASE_SCOPE.md.
XDC-16,Stage17 manifest ↔ Stage17 outputs,PASS,Old blocked snapshot superseded: Stage16 exists; backlog/acceptance=294/294; work packages=19.,"Updated Stage17 entry gate, blocker, self-audit and manifest."
