requirement_id,priority,critical,implementation_item_id,work_package_id,test_ids,qa_suite_id,source,acceptance_criteria,done_condition,external_gate,coverage_status
PRD-PRINC-001,P0,YES,IMP-001,WP01,REQT-PRD-PRINC-001,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §1,Corporate system records and develops real employee AI use; Tamagotchi is an engagement layer rather than the core business object.,Owning code/config is implemented; `REQT-PRD-PRINC-001` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-PRINC-002,P0,YES,IMP-002,WP01,REQT-PRD-PRINC-002,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §1.1,Employees can describe completed AI use cases in free text or voice; the system structures the data.,Owning code/config is implemented; `REQT-PRD-PRINC-002` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-PRINC-003,P0,YES,IMP-003,WP01,REQT-PRD-PRINC-003,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §1.1,"Engagement mechanics include HP, streak, evolution, Monthly Goals and ratings to encourage regular real AI practice.",Owning code/config is implemented; `REQT-PRD-PRINC-003` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-PRINC-004,P0,YES,IMP-004,WP01,REQT-PRD-PRINC-004,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §1.1; §7,The scoring concept must not reward sheer volume of trivial prompts; Complexity is the base scoring dimension.,Owning code/config is implemented; `REQT-PRD-PRINC-004` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-PRINC-005,P0,YES,IMP-005,WP01,REQT-PRD-PRINC-005,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §1.1,"The system must maintain an analytical trail across tasks, tools, taxonomy, scoring, goals and activity.",Owning code/config is implemented; `REQT-PRD-PRINC-005` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-PRINC-006,P0,YES,IMP-006,WP01,REQT-PRD-PRINC-006,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §1.1; §4,"Employee, Director, Executive and Admin have distinct information scopes and capabilities.",Owning code/config is implemented; `REQT-PRD-PRINC-006` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-PRINC-007,P0,YES,IMP-007,WP01,REQT-PRD-PRINC-007,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §2.1,AI must not invent facts absent from user input or clarification answers.,Owning code/config is implemented; `REQT-PRD-PRINC-007` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-PRINC-008,P0,YES,IMP-008,WP01,REQT-PRD-PRINC-008,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §2.1; §8,"If uncertainty remains after at most three clarifications, the system trusts the employee statement and continues evaluation.",Owning code/config is implemented; `REQT-PRD-PRINC-008` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-PRINC-009,P0,YES,IMP-009,WP01,REQT-PRD-PRINC-009,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §2.1; §7,"Complexity classification is uniform across employees and independent of role, personal experience, recipient status or project prestige.",Owning code/config is implemented; `REQT-PRD-PRINC-009` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-PRINC-010,P0,YES,IMP-010,WP01,REQT-PRD-PRINC-010,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §2.1; §4; §17,No role may manually override computed Complexity/Score; change requires task edit and system reprocessing.,Owning code/config is implemented; `REQT-PRD-PRINC-010` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-PRINC-011,P0,YES,IMP-011,WP01,REQT-PRD-PRINC-011,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §2.1; §24,"Task versions, deletions and system events are retained rather than overwritten.",Owning code/config is implemented; `REQT-PRD-PRINC-011` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-SCOPE-001,P0,YES,IMP-012,WP01,REQT-PRD-SCOPE-001,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §3.1,Mobile-first PWA is the primary product form.,Owning code/config is implemented; `REQT-PRD-SCOPE-001` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-SCOPE-002,P0,YES,IMP-013,WP01,REQT-PRD-SCOPE-002,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §3.1,Desktop web is an additional interface.,Owning code/config is implemented; `REQT-PRD-SCOPE-002` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-SCOPE-003,P0,YES,IMP-014,WP01,REQT-PRD-SCOPE-003,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §3.1,MVP data mutation is online-only.,Owning code/config is implemented; `REQT-PRD-SCOPE-003` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-SCOPE-004,P0,YES,IMP-015,WP01,REQT-PRD-SCOPE-004,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §3.1,MVP supports text AI-use-case input.,Owning code/config is implemented; `REQT-PRD-SCOPE-004` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
PRD-SCOPE-005,P0,YES,IMP-016,WP01,REQT-PRD-SCOPE-005,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §3.1,MVP supports voice input via speech-to-text.,Owning code/config is implemented; `REQT-PRD-SCOPE-005` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NONE,MAPPED
