parameter_id,domain,config_key,baseline,unit,status,source_basis,decision_or_gap
BAL-SCORE-C1,scoring,scoring.complexity_points.C1,1,points,CONFIGURABLE_BASELINE,current Product §7/§29,
BAL-SCORE-C2,scoring,scoring.complexity_points.C2,5,points,CONFIGURABLE_BASELINE,current Product §7/§29,
BAL-SCORE-C3,scoring,scoring.complexity_points.C3,15,points,CONFIGURABLE_BASELINE,current Product §7/§29,
BAL-SCORE-C4,scoring,scoring.complexity_points.C4,40,points,CONFIGURABLE_BASELINE,current Product §7/§29,
BAL-SCORE-C5,scoring,scoring.complexity_points.C5,100,points,CONFIGURABLE_BASELINE,current Product §7/§29,
BAL-HP-INITIAL,hp,hp.initial_hp,100,HP,RESOLVED_BY_OWNER,owner decision accepted recommended option A at Stage 7,DEC-H-002=A
BAL-HP-MISS,hp,hp.no_activity_working_day_delta,-30,HP/workday,CONFIGURABLE_BASELINE,current Product §9/§29,
BAL-HP-C1,hp,hp.base_gain_by_daily_max_complexity.C1,10,HP,CONFIGURABLE_BASELINE,current Product §9/§29,
BAL-HP-C2,hp,hp.base_gain_by_daily_max_complexity.C2,15,HP,CONFIGURABLE_BASELINE,current Product §9/§29,
BAL-HP-C3,hp,hp.base_gain_by_daily_max_complexity.C3,25,HP,CONFIGURABLE_BASELINE,current Product §9/§29,
BAL-HP-C4,hp,hp.base_gain_by_daily_max_complexity.C4,35,HP,CONFIGURABLE_BASELINE,current Product §9/§29,
BAL-HP-C5,hp,hp.base_gain_by_daily_max_complexity.C5,45,HP,CONFIGURABLE_BASELINE,current Product §9/§29,
BAL-HP-EXTRA,hp,hp.additional_valid_task_delta,2,HP/task,CONFIGURABLE_BASELINE,current Product §9/§29,
BAL-COMA-DAYS,hp,hp.coma.active_workdays_required_for_exit,2,active workdays,RESOLVED_FROM_SOURCE,current Product §9.3,
BAL-COMA-EXIT,hp,hp.coma.exit_hp,1,HP,SAFE_ENGINEERING_DEFAULT,historical Product technical recommendation; current Product requires Very Weak,
BAL-GOAL-SCORE,goals,goals.annual_score_reward_per_completed_goal,15,Annual Score/goal,CONFIGURABLE_BASELINE,current Product §12.4/§29,
BAL-GOAL-SCORE-ALL,goals,goals.annual_score_all_three_bonus,15,Annual Score,CONFIGURABLE_BASELINE,current Product §12.4/§29,
BAL-GOAL-XP,goals,goals.evolution_xp_reward_per_completed_goal,10,XP/goal,CONFIGURABLE_BASELINE,current Product §12.4/§29,
BAL-GOAL-XP-ALL,goals,goals.evolution_xp_all_three_bonus,10,XP,CONFIGURABLE_BASELINE,current Product §12.4/§29,
BAL-EVO-E2,evolution,evolution.stages.E2.min_xp,250,XP,CONFIGURABLE_BASELINE,current Product §11/§29,
BAL-EVO-E3,evolution,evolution.stages.E3.min_xp,750,XP,CONFIGURABLE_BASELINE,current Product §11/§29,
BAL-EVO-E4,evolution,evolution.stages.E4.min_xp,2000,XP,CONFIGURABLE_BASELINE,current Product §11/§29,
BAL-EVO-E5,evolution,evolution.stages.E5.min_xp,5000,XP,CONFIGURABLE_BASELINE,current Product §11/§29,
BAL-STREAK-5,streak,streak.milestones[5],5,XP at day 5,CONFIGURABLE_BASELINE,current Product §10.1/§29,
BAL-STREAK-10,streak,streak.milestones[10],10,XP at day 10,CONFIGURABLE_BASELINE,current Product §10.1/§29,
BAL-STREAK-20,streak,streak.milestones[20],20,XP at day 20,CONFIGURABLE_BASELINE,current Product §10.1/§29,
BAL-STREAK-40,streak,streak.milestones[40],40,XP at day 40,CONFIGURABLE_BASELINE,current Product §10.1/§29,
BAL-STREAK-80,streak,streak.milestones[80],80,XP at day 80,CONFIGURABLE_BASELINE,current Product §10.1/§29,
BAL-STREAK-160,streak,streak.milestones[160],150,XP at day 160,CONFIGURABLE_BASELINE,current Product §10.1/§29,
BAL-ACH-COUNT,achievements,achievements.mvp_count_orientation_min/max,20–30,count,DEFERRED_NONBLOCKING,current Product §29 orientation,OD-028
BAL-AMBIENT,ambient,ambient.reactions_per_business_day_min_orientation/max,1–2,reactions/day,CONFIGURABLE_BASELINE,current Product §19/§29,
