requirement_id,domain,release_priority,normalized_requirement,stage10_artifacts,stage10_status,test_contract_status,notes
PRD-TASK-001,AI task lifecycle,P0,"The user-facing AI task is an already completed AI-assisted work use case, not a future to-do item.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-002,AI task lifecycle,P0,Employee may register an unlimited number of AI tasks.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-003,AI task lifecycle,P0,Task input supports text.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-004,AI task lifecycle,P0,Voice flow is record → STT → transcript preview → user correction → submit.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-005,AI task lifecycle,P0,Source audio is not retained after recognition.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-006,AI task lifecycle,P0,A task may contain one or more URLs; URLs are stored but not opened/analyzed.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-007,AI task lifecycle,P0,"Ingestion persists raw input, channel, timestamp and user/context.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-008,AI task lifecycle,P0,"Processing extracts asserted facts, AI tools, workflow evidence, result and evidence signals.",10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-009,AI task lifecycle,P0,Processing performs plausibility assessment before final scoring.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
PRD-TASK-010,AI task lifecycle,P0,Clarifications are asked only when needed and share a maximum of three per task version.,10_FRONTEND_CONTRACT/FRONTEND_ARCHITECTURE.md; 10_FRONTEND_CONTRACT/FORM_CONTRACTS.md; 10_FRONTEND_CONTRACT/SCREEN_CONTRACT_MATRIX.csv; 10_FRONTEND_CONTRACT/SCREEN_TO_API_MATRIX.csv; 10_FRONTEND_CONTRACT/FETCHING_AND_API_CLIENT.md; 10_FRONTEND_CONTRACT/FRONTEND_TEST_CONTRACT.md,MAPPED,CONTRACT_DEFINED_EXECUTABLE_MAPPING_STAGE15,No frontend business authority added; current source precedence applied.
