screen_id,screen_name,route,route_status,roles,platform,state_source,normalized_states,frontend_component_boundary,visual_component_refs,design_token_refs,asset_contract,api_operation_ids,api_object_scope,test_contract,visual_regression_reference,notes
SCR_AUTH_LOGIN,First Login / Personnel Verification,/login,SAFE_ENGINEERING_DEFAULT,public,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_AUTH_LOGIN,default; validation error; verification loading; no match; blocked/inactive; network error; technical error,AuthPage + PersonnelVerificationForm + AsyncFeedback,Inputs + Primary Button + Error/Loading feedback,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,verifyPersonnelIdentity,public verification,FE-T-AUTH,Golden: none; component/state regression,Canonical screen-state rows + current owner/source precedence.
SCR_ONBOARDING,Onboarding,/onboarding,SAFE_ENGINEERING_DEFAULT,authenticated,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_ONBOARDING,purpose; AI-case; scoring; pet; goals; loading; network error; completion processing,OnboardingPage + OnboardingStep + GateResolver,Navigation controls + Information Panels,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,getOnboardingStatus;completeOnboarding,self,FE-T-ONBOARDING,Golden: none; state/component regression,Canonical screen-state rows + current owner/source precedence.
SCR_GOAL_SETUP,Monthly Goal Setup,/goals/setup,SAFE_ENGINEERING_DEFAULT,employee,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_GOAL_SETUP,setup required; options loading; five options; selection 0/1/2; assigned third goal; submit processing; error/retry; complete,GoalSetupPage + GoalOptionSelector + AsyncFeedback,Cards/selection controls + Primary Button,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error;color-state-success,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,getGoalSetup;submitGoalSetup,self,FE-T-GOAL-SETUP,Golden: Goals,Canonical screen-state rows + current owner/source precedence.
SCR_HOME,Home,/,SAFE_ENGINEERING_DEFAULT,employee,Mobile primary / responsive web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_HOME,loading shell; 3D loading; 3D loaded; 3D fallback; healthy; normal; bored; tired; very weak; coma; recovery; vacation; notification; goal completion; streak milestone; no network,HomePage + HomeHUD + HomeGoalsCompact + SceneHostBoundary + HomePrimaryCTA,Bottom Navigation + Streak Indicator + Task Count Indicator + Notification Indicator + compact Information Panel,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset; Home preview/fallback via current manifest; 3D isolated,getCurrentUser;setVacationState;getHome;getCurrentGoals;listNotifications,self;self employee Home,FE-T-HOME,Golden: Home Healthy/Weak/Coma/Vacation,Owner override: no persistent Score/rank/XP/HP numeric bar; compact goals; exact CTA/nav.
SCR_CASE_ADD,Add AI Case — Text,/ai-cases/new,SAFE_ENGINEERING_DEFAULT,employee,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_CASE_ADD,empty; typing; validation error; submit processing; network error; retry,CaseAddPage + CaseTextForm + LinkListField,Inputs + Primary Button + Voice affordance + Error/Loading feedback,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,createTask,owner/self,FE-T-CASE-TEXT,Golden: Add Case,Canonical screen-state rows + current owner/source precedence.
SCR_CASE_VOICE,Voice Recording / STT,/ai-cases/new/voice,SAFE_ENGINEERING_DEFAULT,employee,Mobile primary,Screen_State_Matrix.xlsx rows where Screen ID=SCR_CASE_VOICE,ready; recording; microphone denied; STT processing; STT error; network error,CaseVoicePage + VoiceRecorderController + STTSubmission,Microphone control + Processing/Error feedback,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error;color-state-success,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset; microphone icon via manifest runtime SVG,transcribeTaskAudio,self task draft,FE-T-CASE-VOICE,Golden: STT,Canonical screen-state rows + current owner/source precedence.
SCR_CASE_TRANSCRIPT,Transcript Preview / Edit,/ai-cases/new/transcript,SAFE_ENGINEERING_DEFAULT,employee,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_CASE_TRANSCRIPT,preview; editing; validation error; submit processing; network error,CaseTranscriptPage + TranscriptForm,Text area + Primary Button + Error/Loading feedback,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,transcribeTaskAudio,self task draft,FE-T-CASE-VOICE,Golden: STT/Transcript reference where present,Canonical screen-state rows + current owner/source precedence.
SCR_CASE_PROCESSING,AI Processing,/ai-cases/:taskId/processing,SAFE_ENGINEERING_DEFAULT,employee,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_CASE_PROCESSING,processing; clarification required; AI error; network error; retry processing,CaseProcessingPage + ProcessingStatus + RetryAction,Processing + Error feedback,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,createTask;editTask;getTaskProcessingState;answerTaskClarification,owner only;owner/self,FE-T-PROCESSING,Golden: Processing,Canonical screen-state rows + current owner/source precedence.
SCR_CASE_CLARIFY,Clarification 1–3,/ai-cases/:taskId/clarify,SAFE_ENGINEERING_DEFAULT,employee,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_CASE_CLARIFY,question 1; question 2; question 3; answer typing; network error; cap reached,CaseClarificationPage + ClarificationAnswerForm,Input + Primary Button + Processing/Error feedback,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,getTaskProcessingState;answerTaskClarification,owner only,FE-T-CLARIFICATION,Golden: Clarification,Canonical screen-state rows + current owner/source precedence.
SCR_CASE_RESULT,Task Result,/ai-cases/:taskId/result,SAFE_ENGINEERING_DEFAULT,employee,Mobile/Web,Screen_State_Matrix.xlsx rows where Screen ID=SCR_CASE_RESULT,C1; C2; C3; C4; C5; goal progress changed; evolution milestone; load error; network error,CaseResultPage + ResultSummary + ResultDetails,AI Case Card / Information Panels + success/error feedback,Design_Tokens.json: color-background-primary;color-surface-primary;color-text-primary;color-text-secondary;color-action-primary;spacing-*;radius-*;color-state-error,Asset_Manifest.xlsx runtime path only; direct file must be under 08_PRODUCTION_EXPORTS/; no deprecated/proxy asset,getTaskResult,owner or authorized management scope,FE-T-CASE-RESULT,Golden: C1/C3/C5 Result,Canonical screen-state rows + current owner/source precedence.
