source_id,package_scope,logical_path,filename,type,version,precedence_tier,apparent_status,availability,evidence_source
GOV-001,predevelopment,PROMPT_AI_Development_Package_Generator_v1.0.md,PROMPT_AI_Development_Package_Generator_v1.0.md,md,1.0,governance,CURRENT_GOVERNING_MASTER_PROMPT,DIRECT_UPLOAD_INDEXED_AND_READ,Current uploaded file
GOV-002,predevelopment,TZ_AI_Development_Package_Generator_v1.0.md,TZ_AI_Development_Package_Generator_v1.0.md,md,1.0,governance,CURRENT_GOVERNING_TZ,DIRECT_UPLOAD_INDEXED_AND_READ,Current uploaded file
GOV-003,predevelopment,README_USE.md,README_USE.md,md,current,governance,CURRENT_USAGE_README,DIRECT_UPLOAD_INDEXED_AND_READ,Current uploaded file
PROD-001,product,TZ_AI_Tamagotchi_v1.0 (1).docx,TZ_AI_Tamagotchi_v1.0 (1).docx,docx,1.0,product,CURRENT_PRODUCT_TZ_INPUT_INSTANCE,DIRECT_UPLOAD_INDEXED_AND_READ,Current uploaded Product TZ
PROD-H01,product,TZ_AI_Tamagotchi_v1.0.docx,TZ_AI_Tamagotchi_v1.0.docx,docx,1.0,historical,HISTORICAL_DUPLICATE_INSTANCE,FILE_LIBRARY_INDEXED,File Library metadata
PROD-H02,product,TZ_AI_Tamagotchi_v1.0.docx,TZ_AI_Tamagotchi_v1.0.docx,docx,1.0,historical,HISTORICAL_DUPLICATE_INSTANCE,FILE_LIBRARY_INDEXED,File Library metadata
PROD-H03,product,AI_Tamagochi_TZ_v1.0.docx,AI_Tamagochi_TZ_v1.0.docx,docx,1.0,historical,OLDER_PRODUCT_DRAFT_OR_VARIANT,FILE_LIBRARY_INDEXED,File Library metadata
DES-001,design,TZ_Design_Lyuboznayka_Pulkovo_v1.0.docx,TZ_Design_Lyuboznayka_Pulkovo_v1.0.docx,docx,1.0,design,LATEST_INDEXED_DESIGN_TZ_INSTANCE,FILE_LIBRARY_INDEXED_AND_READ,File Library
DES-H01,design,TZ_Design_Lyuboznayka_Pulkovo_v1.0.docx,TZ_Design_Lyuboznayka_Pulkovo_v1.0.docx,docx,1.0,historical,HISTORICAL_DUPLICATE_INSTANCE,FILE_LIBRARY_INDEXED,File Library
DES-H02,design,TZ_Design_Lyuboznayka_Pulkovo_v1.0.docx,TZ_Design_Lyuboznayka_Pulkovo_v1.0.docx,docx,1.0,historical,HISTORICAL_DUPLICATE_INSTANCE,FILE_LIBRARY_INDEXED,File Library
VGEN-001,visual,PROMPT_AI_Visual_Package_Generator_v1.0.md,PROMPT_AI_Visual_Package_Generator_v1.0.md,md,1.0,visual_upstream,VISUAL_PACKAGE_GENERATOR_PROMPT_HISTORICAL_GOVERNANCE,FILE_LIBRARY_INDEXED_AND_READ,Visual project source
VTZ-001,visual,TZ_Visual_Production_Package_v1.0.md,TZ_Visual_Production_Package_v1.0.md,md,1.0,visual_upstream,LATEST_INDEXED_VISUAL_PRODUCTION_TZ,FILE_LIBRARY_INDEXED_AND_READ,File Library
VTZ-H01,visual,TZ_Visual_Production_Package_v1.0.md,TZ_Visual_Production_Package_v1.0.md,md,1.0,historical,HISTORICAL_DUPLICATE_INSTANCE,FILE_LIBRARY_INDEXED_AND_READ,File Library
VPK-000,visual,AI_TAMAGOTCHI_VISUAL_PACKAGE_v1.0(2).zip,AI_TAMAGOTCHI_VISUAL_PACKAGE_v1.0(2).zip,zip,package v1.0 / current override v2.0,visual_current,CURRENT_USER_SUPPLIED_VISUAL_CONTAINER,CURRENT_UPLOAD_NESTED_CONTENT_INDEXED; RAW_ZIP_NOT_OS_MOUNTED,README_FINAL_PACKAGE_v2.0.md + ALL_FILES.txt + FILE_COUNTS_BY_CATEGORY.md
