requirement_id,priority,feature_group,normalized_requirement,stage14_coverage_basis,stage14_artifacts,stage14_status,external_gate_required,notes
PRD-RBAC-001,P0,Roles & authorization,"Employee can create, edit and soft-delete own AI tasks and access public product sections.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-RBAC-002,P0,Roles & authorization,"Employee can view Personal Dashboard, ratings and company analytics and manage own privacy/vacation.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-RBAC-003,P0,Roles & authorization,Director has read access to employees/tasks in own directorate and can export own directorate.,CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-RBAC-004,P0,Roles & authorization,Director must not access technical scoring trace or change scoring.,CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-RBAC-005,P0,Roles & authorization,Executive/CEO can view whole-company analytics and drill down company → directorate → employee → task.,CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-RBAC-006,P0,Roles & authorization,Executive/CEO does not manage system settings.,CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-RBAC-007,P0,Roles & authorization,"Admin has company-wide system-management scope for org structure, roles, calendar, taxonomy, tools, profiles, technical scoring trace, audit logs and export.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-RBAC-008,P0,Roles & authorization,Admin cannot manually change task Complexity or Score.,CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-RBAC-009,P0,Roles & authorization,"Peers never see another employee's raw input, clarification log or task links regardless of peer privacy level.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-RBAC-010,P0,Roles & authorization,"Director may access raw input, clarifications, links and normalized task data only inside own directorate.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-RBAC-011,P0,Roles & authorization,Executive and Admin may access raw task data according to whole-company authorized scope.,CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-RBAC-012,P0,Roles & authorization,Technical scoring trace is Admin-only.,CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-RBAC-013,P0,Roles & authorization,"Corporate export is unavailable to Employee, directorate-scoped for Director, company-scoped for Executive/Admin.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-RBAC-014,P0,Roles & authorization,"Privacy/access rules must be enforced by backend authorization for each object request/export, not only by UI hiding.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; AUDIT_LOG_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-DATA-001,P0,"Data, audit & integrations","Personnel identity, current directorate, application role/status and active state are represented separately from immutable task history.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; LOGGING_SPEC.md; THREAT_MODEL.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-DATA-002,P0,"Data, audit & integrations","Task/version data preserves raw input, normalized description, processing/classification output, timestamps and version lineage needed for audit.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; LOGGING_SPEC.md; THREAT_MODEL.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-DATA-003,P0,"Data, audit & integrations","Task-tool mapping supports recognized/unrecognized tools, primary flag, role description and sequence when known.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; LOGGING_SPEC.md; THREAT_MODEL.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-DATA-004,P0,"Data, audit & integrations",Task URLs are stored independently and can be removed without the application opening/analyzing them.,CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; LOGGING_SPEC.md; THREAT_MODEL.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-DATA-005,P0,"Data, audit & integrations","Score accounting uses event/ledger semantics with deltas, source references, directorate attribution, SPB event date and reversal linkage.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; LOGGING_SPEC.md; THREAT_MODEL.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-DATA-006,P0,"Data, audit & integrations","Pet state covers HP, health state, vacation, current/best streak, Evolution XP/stage/branch and coma recovery progress.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; LOGGING_SPEC.md; THREAT_MODEL.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-DATA-007,P0,"Data, audit & integrations","Daily activity preserves working-day/vacation context, task count and maximum Complexity needed to reproduce HP/streak.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; LOGGING_SPEC.md; THREAT_MODEL.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-AUDIT-001,P0,"Data, audit & integrations",Task edit/delete/recalculation must remain reproducible through versioning and ledger/reversal semantics rather than destructive overwrite.,CURRENT_294_TRACE_STAGE19_REMEDIATION,AUDIT_LOG_SPEC.md; AUDIT_EVENT_CATALOG.csv; LOGGING_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-AUDIT-002,P0,"Data, audit & integrations",End-of-day jobs must be idempotent and support safe recalculation after edit/delete.,CURRENT_294_TRACE_STAGE19_REMEDIATION,AUDIT_LOG_SPEC.md; AUDIT_EVENT_CATALOG.csv; LOGGING_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-AUDIT-003,P0,"Data, audit & integrations",Goal rule_json must be declarative/backend-executable; free-form LLM judgment alone cannot decide goal completion.,CURRENT_294_TRACE_STAGE19_REMEDIATION,AUDIT_LOG_SPEC.md; AUDIT_EVENT_CATALOG.csv; LOGGING_SPEC.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-EXT-001,P0_EXTERNAL_INTEGRATION,"Data, audit & integrations","Corporate Personnel integration is required, but protocol/base URL/auth/unique employee key/normalization/sync details are not supplied and must not be invented.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; LOGGING_SPEC.md; THREAT_MODEL.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-EXT-002,P0_EXTERNAL_INTEGRATION,"Data, audit & integrations",LLM and STT are provider dependencies; current source set does not freeze production vendor endpoint/credentials/model.,CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; LOGGING_SPEC.md; THREAT_MODEL.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-NFR-001,P0,"Data, audit & integrations",Application is online-first/online-only for data mutation and must handle network failure explicitly.,CURRENT_294_TRACE_STAGE19_REMEDIATION,METRICS_SPEC.md; TRACING_SPEC.md; ALERTING_SPEC.md; BACKUP_RESTORE.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-NFR-002,P0,"Data, audit & integrations","Role/object authorization, privacy and auditability are backend-enforced invariants.",CURRENT_294_TRACE_STAGE19_REMEDIATION,METRICS_SPEC.md; TRACING_SPEC.md; ALERTING_SPEC.md; BACKUP_RESTORE.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-NFR-003,P0,"Data, audit & integrations",No real production credentials/secrets are defined by the source set.,CURRENT_294_TRACE_STAGE19_REMEDIATION,METRICS_SPEC.md; TRACING_SPEC.md; ALERTING_SPEC.md; BACKUP_RESTORE.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-NFR-006,P0,Non-functional & quality requirements,"Task-processing observability includes structured logs, metrics and tracing, with alerting for error rate, latency and queue backlog.",CURRENT_294_TRACE_STAGE19_REMEDIATION,METRICS_SPEC.md; TRACING_SPEC.md; ALERTING_SPEC.md; BACKUP_RESTORE.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-NFR-007,P0,Non-functional & quality requirements,Directories and the event/history data model must support growth in employee count and indefinite history without changing product semantics.,CURRENT_294_TRACE_STAGE19_REMEDIATION,METRICS_SPEC.md; TRACING_SPEC.md; ALERTING_SPEC.md; BACKUP_RESTORE.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-NFR-008,P0,Non-functional & quality requirements,Large-period exports must execute safely without blocking the interactive application interface.,CURRENT_294_TRACE_STAGE19_REMEDIATION,METRICS_SPEC.md; TRACING_SPEC.md; ALERTING_SPEC.md; BACKUP_RESTORE.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-SEC-001,P0,Security & production governance,All network connections use TLS.,CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; SECURITY_GOVERNANCE_GATE.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
PRD-SEC-002,P0,Security & production governance,"Database and backups use encryption at rest, with particular control over raw task content and phone-number data.",CURRENT_294_TRACE_STAGE19_REMEDIATION,TECHNICAL_SECURITY_BASELINE.md; THREAT_MODEL.md; SECURITY_GOVERNANCE_GATE.md,MAPPED,NO,Current canonical remediation; no real vendor/threshold/credential values invented.
