requirement_id,release_priority,runtime_area,normalized_requirement,stage8_artifacts,enforcement,evaluation_gate,stage8_status,source_file,notes
PRD-PRINC-001,P0,runtime_integrity,Corporate system records and develops real employee AI use; Tamagotchi is an engagement layer rather than the core business object.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/PROMPTS/system_processing.md,backend_authority_boundary; typed_output; versioned_runtime,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-PRINC-002,P0,runtime_integrity,Employees can describe completed AI use cases in free text or voice; the system structures the data.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/PROMPTS/system_processing.md,backend_authority_boundary; typed_output; versioned_runtime,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-PRINC-003,P0,runtime_integrity,"Engagement mechanics include HP, streak, evolution, Monthly Goals and ratings to encourage regular real AI practice.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/PROMPTS/system_processing.md,backend_authority_boundary; typed_output; versioned_runtime,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-PRINC-004,P0,runtime_integrity,The scoring concept must not reward sheer volume of trivial prompts; Complexity is the base scoring dimension.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/PROMPTS/system_processing.md,backend_authority_boundary; typed_output; versioned_runtime,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-PRINC-005,P0,runtime_integrity,"The system must maintain an analytical trail across tasks, tools, taxonomy, scoring, goals and activity.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/PROMPTS/system_processing.md,backend_authority_boundary; typed_output; versioned_runtime,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-PRINC-006,P0,runtime_integrity,"Employee, Director, Executive and Admin have distinct information scopes and capabilities.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/PROMPTS/system_processing.md,backend_authority_boundary; typed_output; versioned_runtime,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-PRINC-007,P0,runtime_integrity,AI must not invent facts absent from user input or clarification answers.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/PROMPTS/system_processing.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,backend_authority_boundary; typed_output; versioned_runtime,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-PRINC-008,P0,runtime_integrity,"If uncertainty remains after at most three clarifications, the system trusts the employee statement and continues evaluation.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/PROMPTS/system_processing.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,backend_authority_boundary; typed_output; versioned_runtime,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-PRINC-009,P0,runtime_integrity,"Complexity classification is uniform across employees and independent of role, personal experience, recipient status or project prestige.",07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/PROMPTS/system_processing.md; 07_AI_RUNTIME/EVALUATION/REGRESSION_GATES.md,backend_authority_boundary; typed_output; versioned_runtime,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
PRD-PRINC-010,P0,runtime_integrity,No role may manually override computed Complexity/Score; change requires task edit and system reprocessing.,07_AI_RUNTIME/AI_RUNTIME_SPEC.md; 07_AI_RUNTIME/PROMPTS/system_processing.md,backend_authority_boundary; typed_output; versioned_runtime,G-AI-02/G-AI-04,MAPPED,TZ_AI_Tamagotchi_v1.0 (1).docx,Stage-8 runtime contract; deterministic business effects remain outside LLM.
