item_id,work_package_id,wave,requirement_id,feature_group_id,title,implementation_action,owning_module,primary_layer,priority,scope_bucket,dependencies,acceptance_criteria,test_ids,qa_suite_id,source,feature_flag,external_gate,done_condition,implementation_status
IMP-001,WP01,1,PRD-PRINC-001,FG-CORE,Corporate system records and develops real employee AI use; Tamagotchi is an engagement layer rather than the core busin,Implement the smallest owning-module slice that satisfies: Corporate system records and develops real employee AI use; Tamagotchi is an engagement layer rather than the core business object.,shared/product-foundation,cross-cutting/product-contract,P0,MVP_IN,WP00,Corporate system records and develops real employee AI use; Tamagotchi is an engagement layer rather than the core business object.,REQT-PRD-PRINC-001,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §1,NO_RUNTIME_FLAG,NONE,Owning code/config is implemented; `REQT-PRD-PRINC-001` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NOT_STARTED
IMP-002,WP01,1,PRD-PRINC-002,FG-CORE,Employees can describe completed AI use cases in free text or voice; the system structures the data.,Implement the smallest owning-module slice that satisfies: Employees can describe completed AI use cases in free text or voice; the system structures the data.,shared/product-foundation,cross-cutting/product-contract,P0,MVP_IN,WP00,Employees can describe completed AI use cases in free text or voice; the system structures the data.,REQT-PRD-PRINC-002,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §1.1,NO_RUNTIME_FLAG,NONE,Owning code/config is implemented; `REQT-PRD-PRINC-002` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NOT_STARTED
IMP-003,WP01,1,PRD-PRINC-003,FG-CORE,"Engagement mechanics include HP, streak, evolution, Monthly Goals and ratings to encourage regular real AI practice.","Implement the smallest owning-module slice that satisfies: Engagement mechanics include HP, streak, evolution, Monthly Goals and ratings to encourage regular real AI practice.",shared/product-foundation,cross-cutting/product-contract,P0,MVP_IN,WP00,"Engagement mechanics include HP, streak, evolution, Monthly Goals and ratings to encourage regular real AI practice.",REQT-PRD-PRINC-003,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §1.1,NO_RUNTIME_FLAG,NONE,Owning code/config is implemented; `REQT-PRD-PRINC-003` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NOT_STARTED
IMP-004,WP01,1,PRD-PRINC-004,FG-CORE,The scoring concept must not reward sheer volume of trivial prompts; Complexity is the base scoring dimension.,Implement the smallest owning-module slice that satisfies: The scoring concept must not reward sheer volume of trivial prompts; Complexity is the base scoring dimension.,shared/product-foundation,cross-cutting/product-contract,P0,MVP_IN,WP00,The scoring concept must not reward sheer volume of trivial prompts; Complexity is the base scoring dimension.,REQT-PRD-PRINC-004,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §1.1; §7,NO_RUNTIME_FLAG,NONE,Owning code/config is implemented; `REQT-PRD-PRINC-004` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NOT_STARTED
IMP-005,WP01,1,PRD-PRINC-005,FG-CORE,"The system must maintain an analytical trail across tasks, tools, taxonomy, scoring, goals and activity.","Implement the smallest owning-module slice that satisfies: The system must maintain an analytical trail across tasks, tools, taxonomy, scoring, goals and activity.",shared/product-foundation,cross-cutting/product-contract,P0,MVP_IN,WP00,"The system must maintain an analytical trail across tasks, tools, taxonomy, scoring, goals and activity.",REQT-PRD-PRINC-005,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §1.1,NO_RUNTIME_FLAG,NONE,Owning code/config is implemented; `REQT-PRD-PRINC-005` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NOT_STARTED
IMP-006,WP01,1,PRD-PRINC-006,FG-CORE,"Employee, Director, Executive and Admin have distinct information scopes and capabilities.","Implement the smallest owning-module slice that satisfies: Employee, Director, Executive and Admin have distinct information scopes and capabilities.",shared/product-foundation,cross-cutting/product-contract,P0,MVP_IN,WP00,"Employee, Director, Executive and Admin have distinct information scopes and capabilities.",REQT-PRD-PRINC-006,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §1.1; §4,NO_RUNTIME_FLAG,NONE,Owning code/config is implemented; `REQT-PRD-PRINC-006` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NOT_STARTED
IMP-007,WP01,1,PRD-PRINC-007,FG-CORE,AI must not invent facts absent from user input or clarification answers.,Implement the smallest owning-module slice that satisfies: AI must not invent facts absent from user input or clarification answers.,shared/product-foundation,cross-cutting/product-contract,P0,MVP_IN,WP00,AI must not invent facts absent from user input or clarification answers.,REQT-PRD-PRINC-007,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §2.1,NO_RUNTIME_FLAG,NONE,Owning code/config is implemented; `REQT-PRD-PRINC-007` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NOT_STARTED
IMP-008,WP01,1,PRD-PRINC-008,FG-CORE,"If uncertainty remains after at most three clarifications, the system trusts the employee statement and continues evalua","Implement the smallest owning-module slice that satisfies: If uncertainty remains after at most three clarifications, the system trusts the employee statement and continues evaluation.",shared/product-foundation,cross-cutting/product-contract,P0,MVP_IN,WP00,"If uncertainty remains after at most three clarifications, the system trusts the employee statement and continues evaluation.",REQT-PRD-PRINC-008,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §2.1; §8,NO_RUNTIME_FLAG,NONE,Owning code/config is implemented; `REQT-PRD-PRINC-008` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NOT_STARTED
IMP-009,WP01,1,PRD-PRINC-009,FG-CORE,"Complexity classification is uniform across employees and independent of role, personal experience, recipient status or ","Implement the smallest owning-module slice that satisfies: Complexity classification is uniform across employees and independent of role, personal experience, recipient status or project prestige.",shared/product-foundation,cross-cutting/product-contract,P0,MVP_IN,WP00,"Complexity classification is uniform across employees and independent of role, personal experience, recipient status or project prestige.",REQT-PRD-PRINC-009,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §2.1; §7,NO_RUNTIME_FLAG,NONE,Owning code/config is implemented; `REQT-PRD-PRINC-009` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NOT_STARTED
IMP-010,WP01,1,PRD-PRINC-010,FG-CORE,No role may manually override computed Complexity/Score; change requires task edit and system reprocessing.,Implement the smallest owning-module slice that satisfies: No role may manually override computed Complexity/Score; change requires task edit and system reprocessing.,shared/product-foundation,cross-cutting/product-contract,P0,MVP_IN,WP00,No role may manually override computed Complexity/Score; change requires task edit and system reprocessing.,REQT-PRD-PRINC-010,QA-S01,TZ_AI_Tamagotchi_v1.0 (1).docx :: §2.1; §4; §17,NO_RUNTIME_FLAG,NONE,Owning code/config is implemented; `REQT-PRD-PRINC-010` passes; acceptance statement is demonstrably true; lint/typecheck/affected contract tests pass. No requirement-scope expansion or unsupported assumption is introduced.,NOT_STARTED
