screen_id,screen_name,route,route_status,route_class,allowed_roles_frontend,api_roles_observed,platform,api_operation_ids,notes
SCR_AUTH_LOGIN,First Login / Personnel Verification,/login,SAFE_ENGINEERING_DEFAULT,PUBLIC,public,public,Mobile/Web,verifyPersonnelIdentity,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_ONBOARDING,Onboarding,/onboarding,SAFE_ENGINEERING_DEFAULT,AUTH_GATE,authenticated,admin;director;employee;executive,Mobile/Web,getOnboardingStatus;completeOnboarding,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_GOAL_SETUP,Monthly Goal Setup,/goals/setup,SAFE_ENGINEERING_DEFAULT,DATA_GATE,employee,employee,Mobile/Web,getGoalSetup;submitGoalSetup,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_HOME,Home,/,SAFE_ENGINEERING_DEFAULT,PRIMARY_TAB,employee,admin;director;employee;executive,Mobile primary / responsive web,getCurrentUser;setVacationState;getHome;getCurrentGoals;listNotifications,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_CASE_ADD,Add AI Case — Text,/ai-cases/new,SAFE_ENGINEERING_DEFAULT,FLOW,employee,employee,Mobile/Web,createTask,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_CASE_VOICE,Voice Recording / STT,/ai-cases/new/voice,SAFE_ENGINEERING_DEFAULT,FLOW,employee,employee,Mobile primary,transcribeTaskAudio,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_CASE_TRANSCRIPT,Transcript Preview / Edit,/ai-cases/new/transcript,SAFE_ENGINEERING_DEFAULT,FLOW_EPHEMERAL,employee,employee,Mobile/Web,transcribeTaskAudio,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_CASE_PROCESSING,AI Processing,/ai-cases/:taskId/processing,SAFE_ENGINEERING_DEFAULT,FLOW,employee,employee,Mobile/Web,createTask;editTask;getTaskProcessingState;answerTaskClarification,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_CASE_CLARIFY,Clarification 1–3,/ai-cases/:taskId/clarify,SAFE_ENGINEERING_DEFAULT,FLOW,employee,employee,Mobile/Web,getTaskProcessingState;answerTaskClarification,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_CASE_RESULT,Task Result,/ai-cases/:taskId/result,SAFE_ENGINEERING_DEFAULT,FLOW,employee,admin;director;employee;executive,Mobile/Web,getTaskResult,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_CASE_DETAIL,AI Case Detail,/ai-cases/:taskId,SAFE_ENGINEERING_DEFAULT,OBJECT_SCOPED,employee;director;executive;admin,admin;director;employee;executive,Mobile/Web,getTask;softDeleteTask;listTaskVersions;getTaskVersion;getTaskResult,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_CASE_EDIT,Edit AI Case,/ai-cases/:taskId/edit,SAFE_ENGINEERING_DEFAULT,OWNER_ONLY,employee,employee,Mobile/Web,editTask,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_HISTORY_TASKS,History — Tasks,/history,SAFE_ENGINEERING_DEFAULT,PRIMARY_TAB,employee,admin;director;employee;executive,Mobile/Web,softDeleteTask;listTaskVersions;getTaskVersion;listMyTaskHistory,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_HISTORY_EVENTS,History — Events,/history/events,SAFE_ENGINEERING_DEFAULT,SUBROUTE,employee,employee,Mobile/Web,listMyProgressEvents,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_GOALS,Monthly Goals — Active,/goals,SAFE_ENGINEERING_DEFAULT,SUBROUTE,employee,employee,Mobile/Web,getCurrentGoals;submitGoalSetup;listGoalHistory,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_RATING_EMPLOYEES,Rating — Employees,/rating,SAFE_ENGINEERING_DEFAULT,PRIMARY_TAB,employee;director;executive;admin,admin;director;employee;executive,Mobile/Web,listEmployeeRating,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_RATING_DIRECTORATES,Rating — Directorates,/rating/directorates,SAFE_ENGINEERING_DEFAULT,SUBROUTE,employee;director;executive;admin,admin;director;employee;executive,Mobile/Web,listDirectorateRating,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_COMPANY_ANALYTICS,Rating — Analytics,/rating/analytics,SAFE_ENGINEERING_DEFAULT,SUBROUTE,employee;director;executive;admin,admin;director;employee;executive,Web/Mobile,getCompanyAnalytics,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_DIRECTORATE_CARD,Directorate Card,/rating/directorates/:directorateId,SAFE_ENGINEERING_DEFAULT,OBJECT_SCOPED,employee;director;executive;admin,admin;director;employee;executive,Mobile/Web,getDirectorateCard;getExecutiveDirectorateDetail,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_PUBLIC_PROFILE,Public Employee Profile,/profiles/:employeeId,SAFE_ENGINEERING_DEFAULT,OBJECT_SCOPED,employee;director;executive;admin,admin;director;employee;executive,Mobile/Web,getPublicEmployeeProfile;getDirectorEmployeeDetail;getExecutiveEmployeeDetail,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_PROFILE_SELF,Profile / Personal Dashboard,/profile,SAFE_ENGINEERING_DEFAULT,PRIMARY_OR_SELF,employee;director;executive;admin,admin;director;employee;executive,Mobile/Web,getCurrentUser;getPersonalDashboard,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_PRIVACY,Privacy Settings,/profile/privacy,SAFE_ENGINEERING_DEFAULT,SELF,employee;director;executive;admin,admin;director;employee;executive,Mobile/Web,updatePrivacyLevel,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_VACATION,Vacation Settings,/profile/vacation,SAFE_ENGINEERING_DEFAULT,SELF,employee;director;executive;admin,admin;director;employee;executive,Mobile/Web,setVacationState,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_ACHIEVEMENTS,Achievements / Collection,/profile/achievements,SAFE_ENGINEERING_DEFAULT,SELF,employee;director;executive;admin,admin;director;employee;executive,Mobile/Web,listMyAchievements,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_SCORING_INFO,How Scoring Works,/profile/scoring,SAFE_ENGINEERING_DEFAULT,AUTHENTICATED,employee;director;executive;admin,admin;director;employee;executive,Mobile/Web,getScoringInfo,Frontend guard is UX-only; backend authorization remains authoritative.
SCR_NOTIFICATIONS,Notifications,/notifications,SAFE_ENGINEERING_DEFAULT,SELF,employee;director;executive;admin,admin;director;employee;executive,Mobile/Web,listNotifications;markNotificationRead,Frontend guard is UX-only; backend authorization remains authoritative.
