requirement_id,priority,domain,normalized_requirement,stage9_artifacts,status,external_dependency
PRD-RBAC-001,P0,Roles & authorization,"Employee can create, edit and soft-delete own AI tasks and access public product sections.",RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-RBAC-002,P0,Roles & authorization,"Employee can view Personal Dashboard, ratings and company analytics and manage own privacy/vacation.",RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-RBAC-003,P0,Roles & authorization,Director has read access to employees/tasks in own directorate and can export own directorate.,RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-RBAC-004,P0,Roles & authorization,Director must not access technical scoring trace or change scoring.,RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-RBAC-005,P0,Roles & authorization,Executive/CEO can view whole-company analytics and drill down company → directorate → employee → task.,RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-RBAC-006,P0,Roles & authorization,Executive/CEO does not manage system settings.,RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-RBAC-007,P0,Roles & authorization,"Admin has company-wide system-management scope for org structure, roles, calendar, taxonomy, tools, profiles, technical scoring trace, audit logs and export.",RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-RBAC-008,P0,Roles & authorization,Admin cannot manually change task Complexity or Score.,RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-RBAC-009,P0,Roles & authorization,"Peers never see another employee's raw input, clarification log or task links regardless of peer privacy level.",RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-RBAC-010,P0,Roles & authorization,"Director may access raw input, clarifications, links and normalized task data only inside own directorate.",RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-RBAC-011,P0,Roles & authorization,Executive and Admin may access raw task data according to whole-company authorized scope.,RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-RBAC-012,P0,Roles & authorization,Technical scoring trace is Admin-only.,RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-RBAC-013,P0,Roles & authorization,"Corporate export is unavailable to Employee, directorate-scoped for Director, company-scoped for Executive/Admin.",RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-RBAC-014,P0,Roles & authorization,"Privacy/access rules must be enforced by backend authorization for each object request/export, not only by UI hiding.",RBAC_MATRIX.csv; OBJECT_AUTHORIZATION.md; API_AUTHORIZATION_MATRIX.csv,MAPPED,NO
PRD-AUTH-001,P0,Authentication & onboarding,There is no employee self-registration flow.,AUTH_SPEC.md; SESSION_CONTRACT.md; PERSONNEL_PROVIDER_INTERFACE.md,MAPPED,NO
PRD-AUTH-002,P0,Authentication & onboarding,"MVP login verifies personnel number + phone against the corporate personnel source, without SMS/password in Product v1.0.",AUTH_SPEC.md; SESSION_CONTRACT.md; PERSONNEL_PROVIDER_INTERFACE.md,MAPPED,NO
PRD-AUTH-003,P0,Authentication & onboarding,"On successful personnel verification, employee name and directorate are populated from personnel data.",AUTH_SPEC.md; SESSION_CONTRACT.md; PERSONNEL_PROVIDER_INTERFACE.md,MAPPED,NO
PRD-AUTH-004,P0,Authentication & onboarding,Application role/status is controlled by the application and assigned only by Admin.,AUTH_SPEC.md; SESSION_CONTRACT.md; PERSONNEL_PROVIDER_INTERFACE.md,MAPPED,NO
PRD-AUTH-005,P0,Authentication & onboarding,First successful login requires onboarding in 4–5 screens/steps.,AUTH_SPEC.md; SESSION_CONTRACT.md; PERSONNEL_PROVIDER_INTERFACE.md,MAPPED,NO
PRD-AUTH-006,P0,Authentication & onboarding,"When Monthly Goal setup is required, it gates entry to the main interface.",AUTH_SPEC.md; SESSION_CONTRACT.md; PERSONNEL_PROVIDER_INTERFACE.md,MAPPED,NO
PRD-AUTH-007,P0_RISK_WITH_FUTURE_HARDENING,Authentication & onboarding,Personnel-number + phone is explicitly recognized by Product v1.0 as weaker than production-grade SSO/2FA.,AUTH_SPEC.md; SESSION_CONTRACT.md; PERSONNEL_PROVIDER_INTERFACE.md,MAPPED,NO
PRD-RANK-001,P0,Ratings & privacy,Individual public leaderboard is based on Annual Score for the current calendar year.,OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-RANK-002,P0,Ratings & privacy,"Annual Score/current leaderboard reset January 1; pet, HP, Evolution XP, history, achievements and cosmetics persist.",OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-RANK-003,P0,Ratings & privacy,Past-year top employees may retain visual status badges/cosmetics without gameplay advantage.,OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-RANK-004,P0,Ratings & privacy,"Mandatory public employee fields include rank, name, Annual Score, pet appearance and prior-year status rewards.",OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-RANK-005,P0,Ratings & privacy,Directorate ranking uses Average Directorate Score based on annual directorate task/goal points and authorized employee denominator as defined by Product semantics.,OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
PRD-RANK-006,P0,Ratings & privacy,"Directorate card exposes rank, Average Score, Total Score and authorized employee count.",OBJECT_AUTHORIZATION.md; RBAC_MATRIX.csv,MAPPED,NO
