key,category,type,secret,frontend_exposable,example_or_default,production_requirement,source,notes
APP_ENV,app,enum,NO,NO,local,REQUIRED,Stage13,
NODE_ENV,app,enum,NO,NO,development,REQUIRED,Node runtime,
APP_HOST,app,string,NO,NO,0.0.0.0,DEPLOYMENT_DEFINED,SAFE_ENGINEERING_DEFAULT,
APP_PORT,app,integer,NO,NO,3000,DEPLOYMENT_DEFINED,SAFE_ENGINEERING_DEFAULT,example
APP_PUBLIC_ORIGIN,app,url,NO,NO,http://localhost:5173,REQUIRED_NONLOCAL,Stage10/14,local example
APP_BUSINESS_TIMEZONE,business,string,NO,NO,Europe/Moscow,FIXED_CURRENT_BASELINE,Product,
APP_DEFAULT_LOCALE,ui,string,NO,YES,ru,FIXED_MVP,Stage10,
API_BASE_PATH,api,string,NO,YES,/v1,FIXED_API_BASELINE,Stage6/10,
VITE_API_BASE_PATH,frontend_public,string,NO,YES,/v1,REQUIRED,Stage10,
VITE_APP_ENV_LABEL,frontend_public,string,NO,YES,local,OPTIONAL,SAFE_ENGINEERING_DEFAULT,
DATABASE_URL,database,secret_or_ref,YES,NO,__INJECT_AT_RUNTIME__,REQUIRED,Stage5/13,
REDIS_URL,redis,secret_or_ref,YES,NO,__INJECT_AT_RUNTIME__,REQUIRED_WHEN_QUEUE_ENABLED,Stage3/4/13,
QUEUE_PREFIX,jobs,string,NO,NO,ai-tamagotchi,DEPLOYMENT_DEFINED,SAFE_ENGINEERING_DEFAULT,
WORKER_CONCURRENCY,jobs,integer,NO,NO,2,TUNE_BY_ENVIRONMENT,SAFE_ENGINEERING_DEFAULT,not a capacity claim
AUTH_SESSION_TTL_SECONDS,auth,integer,NO,NO,28800,INFOSEC_OVERRIDE_REQUIRED,Stage9/13,example only
AUTH_SESSION_IDLE_TTL_SECONDS,auth,integer_or_empty,NO,NO,,OPEN_FOR_PRODUCTION,Stage9,
AUTH_SESSION_TOKEN_PEPPER_REF,auth,secret_ref,YES,NO,,IMPLEMENTATION_DEPENDENT,Stage13,if Stage14 selects pepper
AUTH_RATE_LIMIT_POLICY_REF,auth,config_ref,NO,NO,stage14,STAGE14_DEFINED,Stage9/14,
INTEGRATIONS_PERSONNEL_PROVIDER_KEY,personnel,string,NO,NO,mock,REAL_PROVIDER_REQUIRED_PRODUCTION,Stage9/12,
PERSONNEL_BASE_URL,personnel,url_or_empty,NO,NO,,REQUIRED_FOR_REAL_PROVIDER_WHEN_APPLICABLE,Stage9/12,
PERSONNEL_CREDENTIAL_REF,personnel,secret_ref,YES,NO,,REQUIRED_FOR_REAL_PROVIDER,Stage9/12,
PERSONNEL_TIMEOUT_MS,personnel,integer,NO,NO,10000,TUNE_WITH_REAL_CONTRACT,SAFE_ENGINEERING_DEFAULT,
PERSONNEL_MAX_ATTEMPTS,personnel,integer,NO,NO,2,TUNE_WITH_REAL_CONTRACT,SAFE_ENGINEERING_DEFAULT,
PERSONNEL_RETRY_BACKOFF_MS,personnel,integer,NO,NO,500,TUNE_WITH_REAL_CONTRACT,SAFE_ENGINEERING_DEFAULT,
PERSONNEL_SYNC_ENABLED,personnel,boolean,NO,NO,false,ENABLE_ONLY_IF_CONTRACT_SUPPORTS,Stage9,
PERSONNEL_SYNC_SCHEDULE,personnel,cron_or_empty,NO,NO,,REQUIRED_IF_SYNC_ENABLED,Stage9/16,
INTEGRATIONS_LLM_PROVIDER_KEY,llm,string,NO,NO,mock,REAL_PROVIDER_REQUIRED_PRODUCTION,Stage8/12,
LLM_BASE_URL,llm,url_or_empty,NO,NO,,REQUIRED_FOR_REAL_PROVIDER_WHEN_APPLICABLE,Stage8/12,
LLM_CREDENTIAL_REF,llm,secret_ref,YES,NO,,REQUIRED_FOR_REAL_PROVIDER,Stage8/12,
LLM_TIMEOUT_MS,llm,integer,NO,NO,60000,TUNE_WITH_REAL_CONTRACT,SAFE_ENGINEERING_DEFAULT,
LLM_MAX_ATTEMPTS,llm,integer,NO,NO,2,TUNE_WITH_REAL_CONTRACT,SAFE_ENGINEERING_DEFAULT,
LLM_RETRY_BACKOFF_MS,llm,integer,NO,NO,1000,TUNE_WITH_REAL_CONTRACT,SAFE_ENGINEERING_DEFAULT,
LLM_MODEL_ID,llm,string_or_empty,NO,NO,mock-deterministic,REAL_MODEL_REQUIRED_PRODUCTION,Stage8,
INTEGRATIONS_STT_PROVIDER_KEY,stt,string,NO,NO,mock,REAL_PROVIDER_REQUIRED_PRODUCTION,Stage8/12,
STT_BASE_URL,stt,url_or_empty,NO,NO,,REQUIRED_FOR_REAL_PROVIDER_WHEN_APPLICABLE,Stage8/12,
STT_CREDENTIAL_REF,stt,secret_ref,YES,NO,,REQUIRED_FOR_REAL_PROVIDER,Stage8/12,
STT_TIMEOUT_MS,stt,integer,NO,NO,60000,TUNE_WITH_REAL_CONTRACT,SAFE_ENGINEERING_DEFAULT,
STT_MAX_ATTEMPTS,stt,integer,NO,NO,2,TUNE_WITH_REAL_CONTRACT,SAFE_ENGINEERING_DEFAULT,
STT_RETRY_BACKOFF_MS,stt,integer,NO,NO,1000,TUNE_WITH_REAL_CONTRACT,SAFE_ENGINEERING_DEFAULT,
STT_MODEL_ID,stt,string_or_empty,NO,NO,mock-deterministic,REAL_MODEL_REQUIRED_PRODUCTION,Stage8,
INTEGRATIONS_WEATHER_ENABLED,weather,boolean,NO,NO,false,OPTIONAL,Stage12,
INTEGRATIONS_WEATHER_PROVIDER_KEY,weather,string_or_empty,NO,NO,,REQUIRED_IF_ENABLED,Stage12,
WEATHER_BASE_URL,weather,url_or_empty,NO,NO,,REQUIRED_IF_ENABLED,Stage12,
WEATHER_CREDENTIAL_REF,weather,secret_ref,YES,NO,,PROVIDER_DEPENDENT_IF_ENABLED,Stage12,
WEATHER_LOCATION_KEY,weather,string,NO,NO,saint_petersburg,FIXED_APPLICATION_SEMANTIC,Stage12,
WEATHER_TIMEOUT_MS,weather,integer,NO,NO,5000,TUNE_IF_ENABLED,SAFE_ENGINEERING_DEFAULT,
WEATHER_MAX_ATTEMPTS,weather,integer,NO,NO,1,TUNE_IF_ENABLED,SAFE_ENGINEERING_DEFAULT,
WEATHER_CACHE_TTL_SECONDS,weather,integer,NO,NO,900,TUNE_IF_ENABLED,SAFE_ENGINEERING_DEFAULT,example
INTEGRATIONS_OBJECT_STORAGE_PROVIDER_KEY,object_storage,string,NO,NO,mock,REAL_PROVIDER_REQUIRED_WHERE_EXTERNALIZED,Stage12,
OBJECT_STORAGE_ENDPOINT,object_storage,url_or_empty,NO,NO,,REQUIRED_FOR_REAL_PROVIDER_WHEN_APPLICABLE,Stage12,
OBJECT_STORAGE_REGION,object_storage,string_or_empty,NO,NO,,PROVIDER_DEPENDENT,Stage12,
OBJECT_STORAGE_BUCKET,object_storage,string_or_empty,NO,NO,,REQUIRED_FOR_REAL_PROVIDER,Stage12,
OBJECT_STORAGE_CREDENTIAL_REF,object_storage,secret_ref,YES,NO,,REQUIRED_FOR_REAL_PROVIDER,Stage12,
OBJECT_STORAGE_PREFIX_EXPORTS,object_storage,string,NO,NO,exports/,DEPLOYMENT_DEFINED,SAFE_ENGINEERING_DEFAULT,
OBJECT_STORAGE_TIMEOUT_MS,object_storage,integer,NO,NO,30000,TUNE_WITH_REAL_CONTRACT,SAFE_ENGINEERING_DEFAULT,
OBJECT_STORAGE_MAX_ATTEMPTS,object_storage,integer,NO,NO,2,TUNE_WITH_REAL_CONTRACT,SAFE_ENGINEERING_DEFAULT,
EXPORT_ARTIFACT_TTL_SECONDS,object_storage,integer_or_empty,NO,NO,,OPEN_RETENTION_POLICY,Stage12,
INTEGRATIONS_EXTERNAL_NOTIFICATIONS_ENABLED,notification_external,boolean,NO,NO,false,MUST_BE_FALSE_MVP,Stage2/12,
EXTERNAL_NOTIFICATION_PROVIDER_KEY,notification_external,string_or_empty,NO,NO,,FUTURE_ONLY,Stage12,
