config_key,category,source_contracts,secret,frontend_exposable,stage13_status,production_requirement,notes
APP_ENV,app,Stage13,NO,NO,BASELINE_CONFIGURED,REQUIRED,
NODE_ENV,app,Node runtime,NO,NO,BASELINE_CONFIGURED,REQUIRED,
APP_HOST,app,SAFE_ENGINEERING_DEFAULT,NO,NO,BASELINE_CONFIGURED,DEPLOYMENT_DEFINED,
APP_PORT,app,SAFE_ENGINEERING_DEFAULT,NO,NO,BASELINE_CONFIGURED,DEPLOYMENT_DEFINED,example
APP_PUBLIC_ORIGIN,app,Stage10/14,NO,NO,BASELINE_CONFIGURED,REQUIRED_NONLOCAL,local example
APP_BUSINESS_TIMEZONE,business,Product,NO,NO,BASELINE_CONFIGURED,FIXED_CURRENT_BASELINE,
APP_DEFAULT_LOCALE,ui,Stage10,NO,YES,BASELINE_CONFIGURED,FIXED_MVP,
API_BASE_PATH,api,Stage6/10,NO,YES,BASELINE_CONFIGURED,FIXED_API_BASELINE,
VITE_API_BASE_PATH,frontend_public,Stage10,NO,YES,BASELINE_CONFIGURED,REQUIRED,
VITE_APP_ENV_LABEL,frontend_public,SAFE_ENGINEERING_DEFAULT,NO,YES,BASELINE_CONFIGURED,OPTIONAL,
DATABASE_URL,database,Stage5/13,YES,NO,BASELINE_CONFIGURED,REQUIRED,
REDIS_URL,redis,Stage3/4/13,YES,NO,BASELINE_CONFIGURED,REQUIRED_WHEN_QUEUE_ENABLED,
QUEUE_PREFIX,jobs,SAFE_ENGINEERING_DEFAULT,NO,NO,BASELINE_CONFIGURED,DEPLOYMENT_DEFINED,
WORKER_CONCURRENCY,jobs,SAFE_ENGINEERING_DEFAULT,NO,NO,BASELINE_CONFIGURED,TUNE_BY_ENVIRONMENT,not a capacity claim
AUTH_SESSION_TTL_SECONDS,auth,Stage9/13; Stage-9 SESSION_CONTRACT (file-library source; physical folder currently absent),NO,NO,BASELINE_CONFIGURED,INFOSEC_OVERRIDE_REQUIRED,example only
AUTH_SESSION_IDLE_TTL_SECONDS,auth,Stage9; Stage-9 SESSION_CONTRACT (file-library source; physical folder currently absent),NO,NO,OPEN_EXTERNAL_VALUE_SLOT,OPEN_FOR_PRODUCTION,
AUTH_SESSION_TOKEN_PEPPER_REF,auth,Stage13; Stage-9 SESSION_CONTRACT (file-library source; physical folder currently absent),YES,NO,BASELINE_CONFIGURED,IMPLEMENTATION_DEPENDENT,if Stage14 selects pepper
AUTH_RATE_LIMIT_POLICY_REF,auth,Stage9/14; Stage-9 SESSION_CONTRACT (file-library source; physical folder currently absent),NO,NO,BASELINE_CONFIGURED,STAGE14_DEFINED,
INTEGRATIONS_PERSONNEL_PROVIDER_KEY,personnel,Stage9/12; Stage-9 Personnel contract (file-library source; physical folder currently absent),NO,NO,OPEN_EXTERNAL_VALUE_SLOT,REAL_PROVIDER_REQUIRED_PRODUCTION,
PERSONNEL_BASE_URL,personnel,Stage9/12; Stage-9 Personnel contract (file-library source; physical folder currently absent),NO,NO,OPEN_EXTERNAL_VALUE_SLOT,REQUIRED_FOR_REAL_PROVIDER_WHEN_APPLICABLE,
PERSONNEL_CREDENTIAL_REF,personnel,Stage9/12; Stage-9 Personnel contract (file-library source; physical folder currently absent),YES,NO,OPEN_EXTERNAL_VALUE_SLOT,REQUIRED_FOR_REAL_PROVIDER,
PERSONNEL_TIMEOUT_MS,personnel,SAFE_ENGINEERING_DEFAULT; Stage-9 Personnel contract (file-library source; physical folder currently absent),NO,NO,OPEN_EXTERNAL_VALUE_SLOT,TUNE_WITH_REAL_CONTRACT,
PERSONNEL_MAX_ATTEMPTS,personnel,SAFE_ENGINEERING_DEFAULT; Stage-9 Personnel contract (file-library source; physical folder currently absent),NO,NO,OPEN_EXTERNAL_VALUE_SLOT,TUNE_WITH_REAL_CONTRACT,
PERSONNEL_RETRY_BACKOFF_MS,personnel,SAFE_ENGINEERING_DEFAULT; Stage-9 Personnel contract (file-library source; physical folder currently absent),NO,NO,OPEN_EXTERNAL_VALUE_SLOT,TUNE_WITH_REAL_CONTRACT,
PERSONNEL_SYNC_ENABLED,personnel,Stage9; Stage-9 Personnel contract (file-library source; physical folder currently absent),NO,NO,BASELINE_CONFIGURED,ENABLE_ONLY_IF_CONTRACT_SUPPORTS,
PERSONNEL_SYNC_SCHEDULE,personnel,Stage9/16; Stage-9 Personnel contract (file-library source; physical folder currently absent),NO,NO,BASELINE_CONFIGURED,REQUIRED_IF_SYNC_ENABLED,
INTEGRATIONS_LLM_PROVIDER_KEY,llm,Stage8/12; 07_AI_RUNTIME/MODEL_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,REAL_PROVIDER_REQUIRED_PRODUCTION,
LLM_BASE_URL,llm,Stage8/12; 07_AI_RUNTIME/MODEL_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,REQUIRED_FOR_REAL_PROVIDER_WHEN_APPLICABLE,
LLM_CREDENTIAL_REF,llm,Stage8/12; 07_AI_RUNTIME/MODEL_PROVIDER_INTERFACE.md,YES,NO,OPEN_EXTERNAL_VALUE_SLOT,REQUIRED_FOR_REAL_PROVIDER,
LLM_TIMEOUT_MS,llm,SAFE_ENGINEERING_DEFAULT; 07_AI_RUNTIME/MODEL_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,TUNE_WITH_REAL_CONTRACT,
LLM_MAX_ATTEMPTS,llm,SAFE_ENGINEERING_DEFAULT; 07_AI_RUNTIME/MODEL_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,TUNE_WITH_REAL_CONTRACT,
LLM_RETRY_BACKOFF_MS,llm,SAFE_ENGINEERING_DEFAULT; 07_AI_RUNTIME/MODEL_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,TUNE_WITH_REAL_CONTRACT,
LLM_MODEL_ID,llm,Stage8; 07_AI_RUNTIME/MODEL_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,REAL_MODEL_REQUIRED_PRODUCTION,
INTEGRATIONS_STT_PROVIDER_KEY,stt,Stage8/12; 07_AI_RUNTIME/STT_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,REAL_PROVIDER_REQUIRED_PRODUCTION,
STT_BASE_URL,stt,Stage8/12; 07_AI_RUNTIME/STT_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,REQUIRED_FOR_REAL_PROVIDER_WHEN_APPLICABLE,
STT_CREDENTIAL_REF,stt,Stage8/12; 07_AI_RUNTIME/STT_PROVIDER_INTERFACE.md,YES,NO,OPEN_EXTERNAL_VALUE_SLOT,REQUIRED_FOR_REAL_PROVIDER,
STT_TIMEOUT_MS,stt,SAFE_ENGINEERING_DEFAULT; 07_AI_RUNTIME/STT_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,TUNE_WITH_REAL_CONTRACT,
STT_MAX_ATTEMPTS,stt,SAFE_ENGINEERING_DEFAULT; 07_AI_RUNTIME/STT_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,TUNE_WITH_REAL_CONTRACT,
STT_RETRY_BACKOFF_MS,stt,SAFE_ENGINEERING_DEFAULT; 07_AI_RUNTIME/STT_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,TUNE_WITH_REAL_CONTRACT,
STT_MODEL_ID,stt,Stage8; 07_AI_RUNTIME/STT_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,REAL_MODEL_REQUIRED_PRODUCTION,
INTEGRATIONS_WEATHER_ENABLED,weather,Stage12; 12_INTEGRATIONS/WEATHER_PROVIDER_INTERFACE.md,NO,NO,BASELINE_CONFIGURED,OPTIONAL,
INTEGRATIONS_WEATHER_PROVIDER_KEY,weather,Stage12; 12_INTEGRATIONS/WEATHER_PROVIDER_INTERFACE.md,NO,NO,BASELINE_CONFIGURED,REQUIRED_IF_ENABLED,
WEATHER_BASE_URL,weather,Stage12; 12_INTEGRATIONS/WEATHER_PROVIDER_INTERFACE.md,NO,NO,BASELINE_CONFIGURED,REQUIRED_IF_ENABLED,
WEATHER_CREDENTIAL_REF,weather,Stage12; 12_INTEGRATIONS/WEATHER_PROVIDER_INTERFACE.md,YES,NO,BASELINE_CONFIGURED,PROVIDER_DEPENDENT_IF_ENABLED,
WEATHER_LOCATION_KEY,weather,Stage12; 12_INTEGRATIONS/WEATHER_PROVIDER_INTERFACE.md,NO,NO,BASELINE_CONFIGURED,FIXED_APPLICATION_SEMANTIC,
WEATHER_TIMEOUT_MS,weather,SAFE_ENGINEERING_DEFAULT; 12_INTEGRATIONS/WEATHER_PROVIDER_INTERFACE.md,NO,NO,BASELINE_CONFIGURED,TUNE_IF_ENABLED,
WEATHER_MAX_ATTEMPTS,weather,SAFE_ENGINEERING_DEFAULT; 12_INTEGRATIONS/WEATHER_PROVIDER_INTERFACE.md,NO,NO,BASELINE_CONFIGURED,TUNE_IF_ENABLED,
WEATHER_CACHE_TTL_SECONDS,weather,SAFE_ENGINEERING_DEFAULT; 12_INTEGRATIONS/WEATHER_PROVIDER_INTERFACE.md,NO,NO,BASELINE_CONFIGURED,TUNE_IF_ENABLED,example
INTEGRATIONS_OBJECT_STORAGE_PROVIDER_KEY,object_storage,Stage12; 12_INTEGRATIONS/OBJECT_STORAGE_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,REAL_PROVIDER_REQUIRED_WHERE_EXTERNALIZED,
OBJECT_STORAGE_ENDPOINT,object_storage,Stage12; 12_INTEGRATIONS/OBJECT_STORAGE_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,REQUIRED_FOR_REAL_PROVIDER_WHEN_APPLICABLE,
OBJECT_STORAGE_REGION,object_storage,Stage12; 12_INTEGRATIONS/OBJECT_STORAGE_PROVIDER_INTERFACE.md,NO,NO,BASELINE_CONFIGURED,PROVIDER_DEPENDENT,
OBJECT_STORAGE_BUCKET,object_storage,Stage12; 12_INTEGRATIONS/OBJECT_STORAGE_PROVIDER_INTERFACE.md,NO,NO,OPEN_EXTERNAL_VALUE_SLOT,REQUIRED_FOR_REAL_PROVIDER,
OBJECT_STORAGE_CREDENTIAL_REF,object_storage,Stage12; 12_INTEGRATIONS/OBJECT_STORAGE_PROVIDER_INTERFACE.md,YES,NO,OPEN_EXTERNAL_VALUE_SLOT,REQUIRED_FOR_REAL_PROVIDER,
