operation_id,method,path,roles,scope,idempotency,retry,pagination,sort,filters,screen_ids,db_refs,requirement_ids
listAuditLog,GET,/v1/admin/audit,admin,whole company admin,none,safe_read,cursor,created_at:desc,actor_id;entity_type;entity_id;period,SCR_ADMIN_AUDIT,audit_log,PRD-ADMIN-001;PRD-ADMIN-002;PRD-ADMIN-003;PRD-AUDIT-001;PRD-AUDIT-002;PRD-AUDIT-003
getCorporateCalendar,GET,/v1/admin/calendar,admin,whole company admin,none,safe_read,none,date:asc,from;to,SCR_ADMIN_CALENDAR,corporate_calendar,PRD-ADMIN-001;PRD-ADMIN-002;PRD-ADMIN-003;PRD-CAL-001
setCorporateCalendarDay,PUT,/v1/admin/calendar/{date},admin,whole company admin,required,retry_same_idempotency_key,none,none,,SCR_ADMIN_CALENDAR,corporate_calendar;daily_activity;audit_log;api_idempotency_records,PRD-CAL-001
listAdminDirectorates,GET,/v1/admin/directorates,admin,whole company admin,none,safe_read,cursor,name:asc,,SCR_ADMIN_ORG,directorates;directorate_director_assignments,PRD-ADMIN-001;PRD-ADMIN-002;PRD-ADMIN-003
createDirectorate,POST,/v1/admin/directorates,admin,whole company admin,required,retry_same_idempotency_key,none,none,,SCR_ADMIN_ORG,directorates;audit_log;api_idempotency_records,
updateDirectorate,PATCH,/v1/admin/directorates/{directorateId},admin,whole company admin,required,retry_same_idempotency_key,none,none,,SCR_ADMIN_ORG,directorates;directorate_director_assignments;audit_log;api_idempotency_records,PRD-ADMIN-001;PRD-ADMIN-002;PRD-ADMIN-003
listAdminEmployees,GET,/v1/admin/employees,admin,whole company admin,none,safe_read,cursor,"[""name"", ""created_at""]",search;directorate_id;role;account_status,SCR_ADMIN_USERS,employees;directorates,PRD-ADMIN-001;PRD-ADMIN-002;PRD-ADMIN-003;PRD-RBAC-001;PRD-RBAC-002;PRD-RBAC-003;PRD-RBAC-004;PRD-RBAC-005;PRD-RBAC-006;PRD-RBAC-007;PRD-RBAC-008;PRD-RBAC-009;PRD-RBAC-010;PRD-RBAC-011;PRD-RBAC-012;PRD-RBAC-013;PRD-RBAC-014;PRD-SCREEN-001
updateAdminEmployee,PATCH,/v1/admin/employees/{employeeId},admin,whole company admin,required,retry_same_idempotency_key,none,none,,SCR_ADMIN_USERS,employees;employee_directorate_history;audit_log;api_idempotency_records,PRD-ADMIN-001;PRD-ADMIN-002;PRD-ADMIN-003
getTaskScoringTrace,GET,/v1/admin/tasks/{taskId}/scoring-trace,admin,whole company technical trace,none,safe_read,none,none,,SCR_ADMIN_AUDIT,tasks;task_versions;ai_processing_runs;scoring_evidence;system_versions;provider_call_attempts,PRD-AI-001;PRD-AI-002;PRD-AI-003;PRD-AI-004;PRD-AI-005;PRD-AI-006;PRD-AI-007;PRD-AI-008;PRD-AI-009;PRD-AUDIT-001;PRD-AUDIT-002;PRD-AUDIT-003;PRD-SCORE-001;PRD-SCORE-002;PRD-SCORE-003;PRD-SCORE-004;PRD-SCORE-005;PRD-SCORE-006;PRD-SCORE-007;PRD-SCORE-008;PRD-SCORE-009;PRD-SCORE-010;PRD-SCORE-011
listTaxonomyVersions,GET,/v1/admin/taxonomy/versions,admin,whole company admin,none,safe_read,none,none,,SCR_ADMIN_TAXONOMY,taxonomy_versions;categories;subcategories,PRD-ADMIN-001;PRD-ADMIN-002;PRD-ADMIN-003;PRD-TAX-001;PRD-TAX-002;PRD-TAX-003;PRD-TAX-004;PRD-TAX-005
createTaxonomyVersion,POST,/v1/admin/taxonomy/versions,admin,whole company admin,required,retry_same_idempotency_key,none,none,,SCR_ADMIN_TAXONOMY,taxonomy_versions;audit_log;api_idempotency_records,PRD-TAX-001;PRD-TAX-002;PRD-TAX-003;PRD-TAX-004;PRD-TAX-005
getTaxonomyVersion,GET,/v1/admin/taxonomy/versions/{taxonomyVersionId},admin,whole company admin,none,safe_read,none,none,,SCR_ADMIN_TAXONOMY,taxonomy_versions;categories;subcategories,PRD-TAX-001;PRD-TAX-002;PRD-TAX-003;PRD-TAX-004;PRD-TAX-005
activateTaxonomyVersion,POST,/v1/admin/taxonomy/versions/{taxonomyVersionId}/activate,admin,whole company admin,required,retry_same_idempotency_key,none,none,,SCR_ADMIN_TAXONOMY,taxonomy_versions;audit_log;api_idempotency_records,PRD-TAX-001;PRD-TAX-002;PRD-TAX-003;PRD-TAX-004;PRD-TAX-005
createTaxonomyCategory,POST,/v1/admin/taxonomy/versions/{taxonomyVersionId}/categories,admin,whole company admin,required,retry_same_idempotency_key,none,none,,SCR_ADMIN_TAXONOMY,taxonomy_versions;categories;audit_log;api_idempotency_records,PRD-TAX-001;PRD-TAX-002;PRD-TAX-003;PRD-TAX-004;PRD-TAX-005
updateTaxonomyCategory,PATCH,/v1/admin/taxonomy/versions/{taxonomyVersionId}/categories/{categoryId},admin,whole company admin,required,retry_same_idempotency_key,none,none,,SCR_ADMIN_TAXONOMY,taxonomy_versions;categories;audit_log;api_idempotency_records,PRD-TAX-001;PRD-TAX-002;PRD-TAX-003;PRD-TAX-004;PRD-TAX-005
createTaxonomySubcategory,POST,/v1/admin/taxonomy/versions/{taxonomyVersionId}/subcategories,admin,whole company admin,required,retry_same_idempotency_key,none,none,,SCR_ADMIN_TAXONOMY,taxonomy_versions;categories;subcategories;audit_log;api_idempotency_records,PRD-TAX-001;PRD-TAX-002;PRD-TAX-003;PRD-TAX-004;PRD-TAX-005
updateTaxonomySubcategory,PATCH,/v1/admin/taxonomy/versions/{taxonomyVersionId}/subcategories/{subcategoryId},admin,whole company admin,required,retry_same_idempotency_key,none,none,,SCR_ADMIN_TAXONOMY,taxonomy_versions;subcategories;audit_log;api_idempotency_records,PRD-TAX-001;PRD-TAX-002;PRD-TAX-003;PRD-TAX-004;PRD-TAX-005
listAdminTools,GET,/v1/admin/tools,admin,whole company admin,none,safe_read,cursor,tool_name:asc,search;active,SCR_ADMIN_TOOLS,ai_tools;ai_tool_aliases,PRD-ADMIN-001;PRD-ADMIN-002;PRD-ADMIN-003;PRD-TOOL-001;PRD-TOOL-002;PRD-TOOL-003;PRD-TOOL-004
createAdminTool,POST,/v1/admin/tools,admin,whole company admin,required,retry_same_idempotency_key,none,none,,SCR_ADMIN_TOOLS,ai_tools;ai_tool_aliases;audit_log;api_idempotency_records,PRD-TOOL-001;PRD-TOOL-002;PRD-TOOL-003;PRD-TOOL-004
